time_s	time_us	ax	ay	az	gx	gy	gz	mx	my	mz	pressure	temp	runtime_average_ms	
1429805943	447035	-1	19	-2158	-17	-33	-85	212	437	400	1012.7	30.8	0	
1429805943	547008	3	31	-2173	-27	-29	-75	211	437	401	1012.69	30.8	0	
1429805943	647011	3	14	-2176	-27	-32	-84	208	437	401	1012.66	30.81	0	
1429805943	747025	7	30	-2165	-31	-29	-68	207	437	400	1012.66	30.81	0	
1429805943	847031	7	31	-2170	-30	-32	-73	206	439	401	1012.7	30.82	0	
1429805943	947006	8	7	-2164	-28	-29	-69	204	437	401	1012.69	30.82	0	
1429805944	47028	0	14	-2175	-32	-27	-76	202	437	401	1012.74	30.82	0	
1429805944	146996	12	16	-2165	-43	-27	-72	201	439	402	1012.74	30.82	0	
1429805944	247010	10	24	-2163	-35	-23	-73	199	438	401	1012.76	30.83	0	
1429805944	346984	-3	20	-2154	-33	-30	-75	199	439	403	1012.67	30.82	0	
1429805944	447002	-1	24	-2165	-29	-32	-72	197	438	402	1012.7	30.83	3.46029	
1429805944	547092	11	15	-2160	-33	-29	-76	195	438	403	1012.66	30.82	3.46029	
1429805944	647041	8	19	-2167	-32	-38	-82	193	438	402	1012.65	30.82	3.46029	
1429805944	746992	-2	27	-2166	-33	-37	-69	192	439	402	1012.69	30.82	3.46029	
1429805944	847008	6	24	-2153	-23	-37	-69	191	438	403	1012.69	30.81	3.46029	
1429805944	946984	-6	17	-2167	-16	-37	-77	191	438	401	1012.68	30.82	3.46029	
1429805945	46998	15	21	-2159	-17	-41	-72	189	439	404	1012.7	30.83	3.46029	
1429805945	146963	10	29	-2178	-15	-39	-72	187	440	403	1012.66	30.82	3.46029	
1429805945	246992	4	18	-2173	-24	-33	-72	186	441	401	1012.64	30.83	3.46029	
1429805945	347004	15	31	-2172	-10	-35	-72	184	443	402	1012.62	30.82	3.46029	
1429805945	447016	4	26	-2164	-7	-41	-65	184	443	404	1012.84	30.83	3.4797	
1429805945	547052	-3	19	-2161	-10	-34	-69	184	442	401	1012.72	30.82	3.4797	
1429805945	646989	9	25	-2160	-7	-32	-76	182	443	402	1012.67	30.83	3.4797	
1429805945	746948	10	10	-2160	-25	-34	-80	180	444	403	1012.65	30.83	3.4797	
1429805945	846976	-4	13	-2166	-24	-38	-79	179	443	401	1012.69	30.82	3.4797	
1429805945	946956	3	10	-2158	-28	-32	-85	177	446	403	1012.75	30.82	3.4797	
1429805946	46952	0	25	-2173	-19	-21	-67	175	445	402	1012.73	30.83	3.4797	
1429805946	146959	-3	33	-2172	-19	-28	-67	175	445	401	1012.7	30.83	3.4797	
1429805946	246985	14	21	-2165	-33	-32	-78	173	445	402	1012.73	30.83	3.4797	
1429805946	346943	-9	8	-2158	-32	-30	-75	170	446	401	1012.68	30.82	3.4797	
1429805946	446974	10	22	-2153	-31	-35	-74	170	445	402	1012.76	30.83	3.45199	
1429805946	546959	6	20	-2181	-31	-27	-72	169	446	403	1012.73	30.83	3.45199	
1429805946	646978	4	27	-2175	-30	-33	-83	167	444	402	1012.67	30.83	3.45199	
1429805946	746995	3	2	-2170	-32	-31	-71	166	446	402	1012.68	30.83	3.45199	
1429805946	846974	12	5	-2151	-33	-31	-68	164	444	404	1012.62	30.83	3.45199	
1429805946	947113	11	20	-2171	-30	-32	-65	162	445	403	1012.7	30.83	3.45199	
1429805947	46970	3	14	-2168	-27	-38	-84	161	444	402	1012.71	30.83	3.45199	
1429805947	146977	19	17	-2164	-22	-36	-76	159	445	404	1012.75	30.84	3.45199	
1429805947	246988	11	30	-2169	-27	-34	-75	157	446	405	1012.65	30.83	3.45199	
1429805947	347025	13	26	-2191	-24	-32	-85	157	445	405	1012.67	30.83	3.45199	
1429805947	447020	5	19	-2163	-22	-33	-73	158	446	404	1012.72	30.82	3.55014	
1429805947	547051	1	29	-2174	-21	-39	-80	155	445	403	1012.72	30.84	3.55014	
1429805947	647060	22	19	-2163	-10	-35	-79	154	444	403	1012.65	30.83	3.55014	
1429805947	746989	2	31	-2173	-7	-35	-76	152	447	403	1012.71	30.83	3.55014	
1429805947	847004	20	21	-2181	-13	-33	-78	150	447	404	1012.7	30.83	3.55014	
1429805947	947004	3	17	-2164	-17	-32	-79	149	448	404	1012.71	30.83	3.55014	
1429805948	47020	11	34	-2150	-15	-33	-80	148	448	403	1012.74	30.83	3.55014	
1429805948	147021	18	20	-2170	-15	-32	-67	146	448	405	1012.69	30.84	3.55014	
1429805948	247028	-4	18	-2170	-17	-35	-73	145	449	403	1012.65	30.83	3.55014	
1429805948	346986	12	22	-2169	-19	-34	-76	143	449	404	1012.71	30.83	3.55014	
1429805948	447033	-7	15	-2153	-24	-34	-71	143	450	405	1012.65	30.83	3.47879	
1429805948	547014	0	14	-2165	-28	-32	-69	142	449	403	1012.66	30.84	3.47879	
1429805948	647012	-5	30	-2153	-27	-38	-70	138	449	403	1012.68	30.83	3.47879	
1429805948	747027	12	29	-2181	-25	-41	-73	138	447	405	1012.64	30.83	3.47879	
1429805948	847046	3	31	-2163	-31	-33	-71	138	447	404	1012.7	30.83	3.47879	
