time_s	time_us	ax	ay	az	gx	gy	gz	mx	my	mz	pressure	temp	runtime_average_ms	
1429809819	209519	14	9	-2158	-23	-33	231	182	-81	403	1011.97	30.94	0	
1429809819	309559	13	14	-2159	-27	-32	238	178	-81	404	1011.92	30.95	0	
1429809819	409541	11	6	-2178	-25	-31	234	175	-82	403	1011.94	30.96	0	
1429809819	509561	8	15	-2176	-24	-29	228	173	-83	402	1012.08	30.97	0	
1429809819	609578	8	19	-2168	-25	-28	220	165	-86	403	1011.98	30.97	0	
1429809819	709550	16	25	-2164	-22	-35	221	166	-84	405	1012	30.97	0	
1429809819	809587	14	15	-2165	-35	-34	223	164	-84	403	1011.97	30.97	0	
1429809819	909535	1	20	-2166	-33	-28	214	160	-84	404	1012.04	30.98	0	
1429809820	9558	7	12	-2182	-25	-30	218	157	-84	404	1012.06	30.99	0	
1429809820	109590	13	25	-2158	-26	-33	220	153	-86	404	1012.03	31	0	
1429809820	209576	15	16	-2156	-24	-34	223	154	-86	405	1012.03	30.99	3.31792	
1429809820	309554	16	19	-2162	-22	-33	233	148	-86	403	1011.89	30.98	3.31792	
1429809820	409560	13	24	-2184	-19	-28	227	145	-87	405	1012.02	30.98	3.31792	
1429809820	509563	13	16	-2166	-20	-34	224	144	-86	403	1011.95	30.98	3.31792	
1429809820	609584	2	16	-2172	-24	-32	220	142	-86	404	1011.93	30.98	3.31792	
1429809820	709599	2	25	-2158	-20	-35	225	140	-86	406	1012.01	30.99	3.31792	
1429809820	809619	16	21	-2182	-15	-33	218	136	-87	403	1011.98	30.99	3.31792	
1429809820	909564	13	4	-2176	-23	-35	217	132	-86	404	1012.04	30.99	3.31792	
1429809821	9569	15	10	-2171	-13	-39	207	129	-86	407	1012	31	3.31792	
1429809821	109605	20	16	-2161	-14	-30	213	126	-87	404	1012.05	31	3.31792	
1429809821	209532	15	15	-2163	-18	-30	208	125	-85	405	1012.01	30.99	3.35821	
1429809821	309514	-2	7	-2167	-17	-33	209	123	-85	406	1011.91	30.99	3.35821	
1429809821	409534	-3	24	-2165	-20	-34	207	119	-86	405	1011.91	30.99	3.35821	
1429809821	509548	9	14	-2178	-25	-28	211	119	-86	405	1012.1	31	3.35821	
1429809821	609568	13	27	-2161	-22	-34	218	115	-86	406	1012	31	3.35821	
1429809821	709593	2	14	-2170	-25	-33	205	111	-84	406	1012.02	31	3.35821	
1429809821	809607	4	20	-2174	-24	-27	201	109	-86	407	1011.88	30.99	3.35821	
