time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429809819	171294	-0.0371185	-0.0184487	0.602191	-1.44248	-0.6126	50.4745	0.0718506	0.0862207	-10.4231	
1429809819	220956	-0.104599	-0.0443638	3.11791	-1.1592	-0.809759	50.2935	0.100591	0.105381	-10.38	
1429809819	270949	-0.158418	-0.0665803	5.60829	-0.958066	-0.542849	49.6724	0.0143701	0.0191602	-10.3896	
1429809819	321039	-0.208391	-0.0935694	8.08596	-1.00477	-0.625167	49.575	0.0335303	0.0814307	-10.3992	
1429809819	370987	-0.262026	-0.119396	10.5206	-0.897544	-0.760131	49.0557	0.0143701	0.0718506	-10.3752	
1429809819	420968	-0.313441	-0.145601	12.9344	-1.08168	-0.820899	48.3548	0.0143701	0.0910107	-10.404	
1429809819	471001	-0.357324	-0.162927	15.2979	-1.06969	-0.358406	47.0919	0.0526904	0.0718506	-10.4519	
1429809819	521006	-0.395622	-0.176445	17.6361	-0.517585	-0.0610312	46.195	0.0143701	0.0526904	-10.4423	
1429809819	570994	-0.440855	-0.192171	19.9301	-0.392229	-0.411541	45.7287	0.110171	0.0958008	-10.3896	
1429809819	621040	-0.484744	-0.201853	22.1911	-0.747287	-0.440224	44.8629	0.0431104	0.100591	-10.3609	
1429809819	671032	-0.526111	-0.211313	24.424	-0.337703	-0.717434	44.3388	0.0766406	0.158071	-10.4183	
1429809819	721036	-0.572973	-0.235453	26.6075	-0.5217	-0.980017	43.1756	0.0335303	0.105381	-10.4183	
1429809819	771005	-0.617717	-0.240499	28.7411	-0.699814	-0.325216	42.5359	0.00479004	0.0526904	-10.3082	
1429809819	821051	-0.657592	-0.254728	30.8265	-0.573959	-0.695998	41.4617	0.0718506	0.0814307	-10.4135	
1429809819	871048	-0.690194	-0.261352	32.867	-0.389358	-0.700526	40.514	0.0287402	0.0862207	-10.3944	
1429809819	921037	-0.715962	-0.272474	34.872	-0.532365	-0.282549	39.7297	0.0670606	0.0910107	-10.3944	
1429809819	971037	-0.746049	-0.279713	36.8259	-0.686915	-0.354906	38.9365	0.0239502	0.0910107	-10.404	
1429809820	21039	-0.759932	-0.282881	38.7341	0.212161	-0.692506	37.7037	0.0814307	0.0814307	-10.3704	
1429809820	71099	-0.778315	-0.290366	40.6134	-0.025269	-0.856459	37.1484	-0.00479004	0.124541	-10.3896	
1429809820	121069	-0.798251	-0.292646	42.4481	-0.130179	-0.323087	36.1491	0.0335303	0.0958008	-10.3848	
1429809820	171160	-0.814618	-0.291994	44.233	-0.238018	-0.303907	35.6062	-0.00958008	0.0479004	-10.3848	
1429809820	221024	-0.826844	-0.298319	45.9722	0.0424745	-0.181154	34.4006	0	0.114961	-10.3944	
1429809820	271023	-0.835485	-0.305451	47.6612	0.300906	-1.08389	33.6213	0.0191602	0.0479004	-10.3752	
1429809820	321045	-0.852664	-0.318576	49.3284	0.0346386	-0.217381	33.2564	0.0335303	0.0383203	-10.3704	
1429809820	371038	-0.862141	-0.32462	50.9519	-0.306008	-1.12341	32.1171	0.0479004	0.138911	-10.3561	
1429809820	421071	-0.876335	-0.334184	52.536	-0.0258595	-0.49214	31.4384	0.0335303	0.0670606	-10.3752	
1429809820	471002	-0.876597	-0.344156	54.0784	0.19778	-1.09926	30.5812	0.0287402	0.0766406	-10.4183	
1429809820	521140	-0.875813	-0.350446	55.5768	0.572044	-0.59124	29.4563	0.0287402	0.105381	-10.3944	
1429809820	570960	-0.871565	-0.355057	57.0275	0.853614	-0.436266	28.8876	-0.0143701	0.0718506	-10.3465	
1429809820	621093	-0.873577	-0.353134	58.4475	-0.402722	-0.433109	28.2015	0.0479004	0.110171	-10.38	
1429809820	671039	-0.880201	-0.354605	59.8237	0.0340026	0.00182019	27.8257	0.0431104	0.0862207	-10.4135	
