time_s	time_us	ax	ay	az	gx	gy	gz	mx	my	mz	pressure	temp	runtime_average_ms	
1429809778	934688	-2029	25	-19	-38	-28	32	734	-94	-168	1010.63	29.74	0	
1429809779	34700	-2025	9	-41	-42	-28	29	733	-94	-168	1010.58	29.76	0	
1429809779	134712	-2015	25	-20	-33	-29	36	731	-93	-169	1010.51	29.77	0	
1429809779	234708	-2013	13	-33	-34	-34	15	733	-93	-169	1010.56	29.78	0	
1429809779	334697	-2023	27	-32	-34	-27	19	736	-92	-169	1010.58	29.77	0	
1429809779	434703	-2015	7	-32	-33	-35	37	732	-91	-170	1010.57	29.78	0	
1429809779	534671	-2024	28	-9	-36	-38	33	733	-93	-170	1010.59	29.79	0	
1429809779	634703	-2018	14	-38	-35	-38	27	735	-93	-171	1010.69	29.79	0	
1429809779	734696	-2021	25	-23	-41	-36	8	732	-94	-170	1010.6	29.8	0	
1429809779	834735	-2021	8	-24	-41	-34	12	732	-92	-170	1010.58	29.8	0	
1429809779	934703	-2017	23	-19	-37	-44	16	734	-92	-171	1010.57	29.8	3.51115	
1429809780	34790	-2015	23	-35	-43	-29	27	730	-91	-171	1010.58	29.8	3.51115	
1429809780	134745	-2018	13	-37	-42	-22	34	735	-93	-172	1010.52	29.8	3.51115	
1429809780	234709	-2012	6	-33	-37	-28	24	736	-93	-171	1010.56	29.8	3.51115	
1429809780	334868	-2024	4	-33	-37	-44	26	732	-92	-172	1010.66	29.8	3.51115	
1429809780	434686	-2014	13	-15	-43	-39	11	734	-92	-173	1010.7	29.81	3.51115	
1429809780	534681	-2017	23	-22	-39	-24	16	734	-93	-173	1010.62	29.82	3.51115	
1429809780	634729	-2021	13	-22	-35	-26	49	732	-93	-172	1010.63	29.81	3.51115	
1429809780	734695	-2011	10	-18	-39	-34	28	733	-94	-174	1010.63	29.81	3.51115	
1429809780	834743	-2018	33	-20	-41	-26	23	734	-94	-172	1010.59	29.8	3.51115	
1429809780	934663	-2012	32	-18	-40	-30	15	736	-91	-173	1010.67	29.81	3.55662	
1429809781	34713	-2032	13	-34	-37	-25	17	734	-93	-173	1010.63	29.81	3.55662	
1429809781	134645	-2014	14	-22	-33	-31	26	735	-91	-172	1010.58	29.81	3.55662	
1429809781	234671	-2019	12	-39	-41	-34	33	732	-93	-173	1010.66	29.82	3.55662	
1429809781	334628	-2012	24	-38	-35	-28	32	734	-92	-173	1010.65	29.81	3.55662	
1429809781	434654	-2019	12	-17	-37	-35	18	733	-93	-172	1010.63	29.81	3.55662	
1429809781	534651	-2009	20	-39	-40	-34	19	735	-93	-173	1010.66	29.82	3.55662	
1429809781	634661	-2016	9	-38	-33	-31	24	735	-93	-174	1010.59	29.82	3.55662	
1429809781	734626	-2010	11	-46	-36	-29	26	734	-93	-173	1010.56	29.82	3.55662	
1429809781	834652	-2012	19	-31	-40	-39	26	731	-93	-173	1010.63	29.82	3.55662	
1429809781	934632	-2021	15	-29	-31	-41	28	734	-92	-173	1010.63	29.82	3.52771	
1429809782	34642	-2010	13	-21	-34	-36	12	734	-94	-173	1010.62	29.82	3.52771	
1429809782	134641	-2008	20	-41	-34	-37	13	733	-93	-173	1010.54	29.82	3.52771	
1429809782	234661	-2010	15	-36	-31	-38	42	730	-94	-175	1010.61	29.83	3.52771	
1429809782	334627	-2017	12	-41	-28	-40	23	736	-94	-175	1010.67	29.82	3.52771	
1429809782	434643	-2015	12	-35	-37	-28	28	733	-93	-174	1010.63	29.82	3.52771	
1429809782	534669	-2020	14	-36	-36	-33	23	733	-93	-174	1010.66	29.83	3.52771	
1429809782	634682	-2004	16	-38	-31	-32	7	733	-94	-175	1010.71	29.83	3.52771	
1429809782	734687	-2012	11	-30	-34	-31	18	732	-92	-175	1010.74	29.83	3.52771	
1429809782	834696	-2030	12	-20	-34	-24	17	734	-93	-174	1010.61	29.83	3.52771	
1429809782	934670	-2017	8	-16	-29	-25	25	733	-93	-176	1010.63	29.82	3.54348	
1429809783	34762	-2009	20	-42	-27	-35	24	732	-93	-176	1010.61	29.83	3.54348	
1429809783	134862	-2024	8	-32	-31	-29	15	732	-92	-177	1010.56	29.83	3.54348	
1429809783	234684	-2019	23	-30	-38	-28	10	734	-93	-176	1010.57	29.83	3.54348	
1429809783	334682	-2012	16	-22	-29	-30	21	730	-92	-176	1010.62	29.83	3.54348	
1429809783	434714	-2023	20	-48	-28	-34	16	733	-92	-176	1010.61	29.83	3.54348	
1429809783	534679	-2024	21	-15	-31	-26	31	734	-92	-176	1010.62	29.83	3.54348	
1429809783	634713	-2034	8	-32	-34	-30	12	731	-91	-176	1010.63	29.83	3.54348	
1429809783	734660	-2026	18	-34	-36	-36	19	733	-92	-176	1010.6	29.83	3.54348	
1429809783	834691	-2021	24	-45	-36	-38	16	736	-94	-177	1010.64	29.84	3.54348	
1429809783	934682	-2002	19	-35	-33	-30	25	735	-92	-176	1010.63	29.83	3.78065	
1429809784	34703	-2020	20	-22	-38	-27	35	734	-93	-177	1010.58	29.83	3.78065	
1429809784	134696	-2019	5	-29	-31	-39	33	734	-94	-177	1010.63	29.83	3.78065	
1429809784	234721	-2027	21	-31	-30	-39	29	731	-94	-178	1010.65	29.84	3.78065	
1429809784	334733	-2010	5	-40	-30	-32	14	734	-95	-178	1010.51	29.83	3.78065	
1429809784	434754	-2029	17	-23	-34	-33	33	734	-94	-178	1010.67	29.83	3.78065	
1429809784	534734	-2015	14	-40	-25	-34	25	734	-94	-178	1010.66	29.83	3.78065	
1429809784	634792	-2028	18	-35	-37	-37	38	734	-93	-177	1010.6	29.83	3.78065	
1429809784	734692	-2021	22	-29	-35	-25	27	734	-94	-177	1010.56	29.83	3.78065	
1429809784	834741	-2018	8	-26	-35	-37	20	732	-94	-177	1010.6	29.83	3.78065	
1429809784	934761	-2010	11	-39	-29	-32	7	734	-93	-177	1010.67	29.83	3.50124	
1429809785	34776	-2023	11	-40	-30	-30	20	733	-94	-179	1010.61	29.83	3.50124	
1429809785	134768	-2019	14	-44	-32	-30	29	734	-92	-178	1010.66	29.83	3.50124	
1429809785	234758	-2015	15	-36	-26	-27	24	735	-93	-177	1010.58	29.84	3.50124	
1429809785	334654	-2027	15	-26	-28	-35	12	734	-93	-179	1010.61	29.84	3.50124	
1429809785	434694	-2021	12	-41	-31	-28	15	732	-95	-179	1010.44	29.83	3.50124	
1429809785	534645	-2009	6	-34	-28	-27	12	732	-91	-179	1010.53	29.83	3.50124	
1429809785	634668	-2021	22	-29	-35	-21	27	735	-94	-178	1010.67	29.85	3.50124	
1429809785	734662	-2011	16	-46	-33	-36	25	733	-91	-179	1010.56	29.83	3.50124	
1429809785	834684	-2030	2	-24	-31	-27	19	733	-93	-179	1010.56	29.83	3.50124	
1429809785	934694	-2022	14	-27	-27	-28	19	731	-94	-179	1010.58	29.84	3.52591	
1429809786	34664	-2019	19	-29	-26	-33	6	731	-93	-179	1010.6	29.83	3.52591	
1429809786	134631	-2019	5	-27	-28	-42	17	732	-91	-180	1010.56	29.83	3.52591	
1429809786	234655	-2018	8	-28	-32	-33	34	736	-92	-179	1010.61	29.84	3.52591	
1429809786	334642	-2018	5	-40	-31	-31	44	731	-92	-179	1010.57	29.83	3.52591	
1429809786	434656	-2026	22	-16	-28	-37	25	733	-94	-180	1010.54	29.83	3.52591	
1429809786	534643	-2009	25	-25	-33	-33	24	733	-93	-180	1010.55	29.83	3.52591	
1429809786	634662	-2003	20	-27	-29	-33	12	732	-94	-181	1010.55	29.83	3.52591	
1429809786	734637	-2018	16	-14	-33	-30	26	732	-93	-180	1010.57	29.83	3.52591	
1429809786	834656	-2023	13	-32	-29	-34	29	736	-93	-181	1010.59	29.84	3.52591	
1429809786	934729	-2018	17	-35	-29	-30	32	732	-92	-181	1010.6	29.83	3.54975	
1429809787	34693	-2014	18	-25	-29	-30	23	734	-93	-182	1010.59	29.83	3.54975	
1429809787	134639	-2013	21	-35	-22	-33	16	734	-93	-180	1010.62	29.83	3.54975	
1429809787	234663	-2021	17	-33	-31	-32	20	733	-92	-180	1010.57	29.83	3.54975	
1429809787	334630	-2015	7	-41	-31	-25	23	732	-93	-180	1010.61	29.84	3.54975	
1429809787	434656	-2010	26	-23	-24	-32	28	733	-94	-181	1010.54	29.83	3.54975	
1429809787	534653	-2015	18	-33	-28	-26	29	734	-93	-180	1010.63	29.83	3.54975	
1429809787	634672	-2024	-1	-30	-32	-33	11	733	-94	-182	1010.57	29.83	3.54975	
1429809787	734677	-2025	25	-38	-30	-28	18	734	-92	-182	1010.59	29.83	3.54975	
1429809787	834691	-2027	22	-43	-36	-31	12	733	-92	-181	1010.63	29.83	3.54975	
1429809787	934718	-2008	26	-43	-36	-35	27	733	-93	-181	1010.73	29.83	3.54504	
1429809788	34695	-2026	19	-37	-34	-30	26	737	-93	-182	1010.61	29.84	3.54504	
1429809788	134866	-2014	14	-27	-33	-31	26	730	-94	-182	1010.58	29.83	3.54504	
1429809788	234683	-2017	16	-18	-28	-35	19	732	-92	-182	1010.53	29.83	3.54504	
1429809788	334684	-2026	7	-21	-34	-41	17	735	-92	-180	1010.56	29.83	3.54504	
1429809788	434700	-2014	12	-27	-32	-37	30	736	-93	-181	1010.54	29.83	3.54504	
1429809788	534733	-2018	11	-34	-29	-35	18	731	-92	-183	1010.57	29.83	3.54504	
1429809788	634713	-2019	27	-35	-33	-36	35	735	-94	-181	1010.58	29.83	3.54504	
1429809788	734709	-2011	27	-27	-32	-34	22	734	-93	-183	1010.62	29.83	3.54504	
1429809788	834756	-2021	15	-35	-34	-41	24	732	-92	-182	1010.58	29.84	3.54504	
1429809788	934707	-2013	21	-33	-30	-33	22	734	-94	-182	1010.5	29.83	4.0694	
1429809789	34699	-2026	11	-25	-29	-38	23	735	-93	-184	1010.72	29.83	4.0694	
1429809789	134707	-2022	14	-30	-28	-34	35	731	-94	-183	1010.58	29.83	4.0694	
1429809789	234724	-2007	15	-36	-28	-36	28	732	-93	-183	1010.5	29.83	4.0694	
1429809789	334732	-2020	15	-32	-29	-31	11	733	-94	-183	1010.55	29.84	4.0694	
1429809789	434743	-2026	15	-40	-32	-30	11	733	-94	-183	1010.59	29.84	4.0694	
1429809789	534743	-2023	3	-26	-30	-30	25	733	-94	-182	1010.6	29.83	4.0694	
1429809789	634684	-2010	24	-29	-33	-28	34	735	-93	-185	1010.67	29.85	4.0694	
1429809789	734707	-2008	20	-8	-27	-30	27	732	-95	-183	1010.62	29.84	4.0694	
1429809789	834748	-2023	21	-42	-29	-36	22	735	-93	-183	1010.69	29.84	4.0694	
1429809789	934862	-2032	19	-14	-33	-34	7	734	-92	-184	1010.72	29.83	3.74786	
1429809790	34721	-2013	23	-20	-31	-27	22	732	-93	-184	1010.61	29.84	3.74786	
1429809790	134675	-2019	20	-34	-33	-28	18	735	-92	-183	1010.59	29.83	3.74786	
1429809790	234693	-2038	25	-21	-30	-36	31	733	-94	-184	1010.65	29.84	3.74786	
1429809790	334683	-2032	18	-27	-28	-31	21	734	-93	-182	1010.62	29.83	3.74786	
1429809790	434676	-2021	19	-26	-32	-38	14	733	-92	-184	1010.62	29.84	3.74786	
1429809790	534639	-2011	13	-17	-29	-37	14	734	-93	-183	1010.66	29.83	3.74786	
1429809790	634665	-2014	6	-20	-24	-40	14	732	-93	-184	1010.57	29.83	3.74786	
1429809790	734662	-2016	18	-39	-34	-38	21	735	-92	-184	1010.59	29.83	3.74786	
1429809790	834686	-2034	13	-35	-32	-37	25	734	-93	-185	1010.68	29.84	3.74786	
1429809790	934651	-2018	2	-20	-29	-36	21	730	-93	-185	1010.55	29.84	3.67581	
1429809791	34695	-2016	8	-31	-28	-35	21	731	-92	-184	1010.55	29.84	3.67581	
1429809791	134630	-2021	11	-36	-29	-36	29	735	-92	-184	1010.54	29.82	3.67581	
1429809791	234654	-2026	7	-27	-31	-31	17	732	-93	-185	1010.58	29.83	3.67581	
1429809791	334636	-2024	12	-33	-30	-31	27	732	-93	-185	1010.62	29.84	3.67581	
1429809791	434646	-2017	8	-47	-29	-32	21	735	-93	-185	1010.6	29.85	3.67581	
1429809791	534644	-2015	12	-30	-30	-34	17	733	-92	-186	1010.62	29.84	3.67581	
1429809791	634654	-2022	17	-27	-21	-27	12	734	-92	-185	1010.59	29.84	3.67581	
1429809791	734630	-2011	14	-31	-27	-26	22	733	-93	-185	1010.68	29.85	3.67581	
1429809791	834696	-2025	17	-32	-29	-29	28	733	-93	-182	1010.65	29.84	3.67581	
1429809791	934638	-2016	22	-34	-33	-27	36	732	-92	-184	1010.69	29.84	3.51785	
