time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429809778	896194	-0.0564411	-2.36253	0.452526	-0.400355	-82.2472	46.8473	-9.73336	0.0670606	-0.0622705	
1429809778	946330	-0.174405	-6.42705	2.66691	2.30373	-80.1101	42.2357	-9.69025	0.0622705	-0.148491	
1429809778	996208	-0.296252	-10.4944	4.67521	4.85549	-81.058	37.4703	-9.69983	0.0526904	-0.124541	
1429809779	46461	-0.424534	-14.5169	6.49373	5.85189	-80.6767	33.1323	-9.59924	0.0622705	-0.0766406	
1429809779	96227	-0.536056	-18.4389	8.12293	7.20091	-78.2301	28.9914	-9.64235	0.0718506	-0.148491	
1429809779	146404	-0.668706	-22.3366	9.59022	8.02454	-76.8448	25.6988	-9.6663	0.0574805	-0.148491	
1429809779	196237	-0.79937	-26.1141	10.8934	8.35325	-74.377	21.6273	-9.59445	0.0526904	-0.148491	
1429809779	246326	-0.917197	-29.7887	12.0582	8.55145	-73.9059	18.5838	-9.68546	0.0335303	-0.100591	
1429809779	296114	-1.03484	-33.347	13.1214	8.64131	-70.9897	16.0744	-9.67588	0.0622705	-0.105381	
1429809779	346437	-1.16224	-36.8122	14.0817	8.54918	-68.3287	13.7435	-9.63277	0.0766406	-0.234712	
1429809779	396132	-1.28598	-40.1071	14.9599	8.44899	-65.5957	11.8265	-9.63277	0.0574805	-0.148491	
1429809779	446293	-1.43177	-43.2739	15.8006	8.3866	-62.8744	10.7364	-9.62798	0.00479004	-0.182021	
1429809779	496180	-1.57794	-46.2714	16.5832	8.1319	-58.6051	9.38854	-9.70462	0.0766406	-0.220342	
1429809779	546351	-1.75765	-49.1699	17.353	7.73	-57.5756	8.26129	-9.66151	0.0862207	-0.143701	
1429809779	596161	-1.9634	-51.9222	18.0988	7.42137	-53.4929	7.32917	-9.65193	0.0910107	-0.134121	
1429809779	646245	-2.13882	-54.5399	18.7887	7.50633	-51.0992	5.95953	-9.7142	0.0670606	-0.119751	
1429809779	696192	-2.32424	-57.0141	19.449	7.26886	-49.7344	5.36747	-9.67588	0.105381	-0.119751	
1429809779	746488	-2.50189	-59.3569	20.0648	6.62266	-46.2409	3.93388	-9.69983	0.0766406	-0.138911	
1429809779	796195	-2.68915	-61.537	20.6567	6.55033	-43.3091	3.54351	-9.62798	0.134121	-0.196392	
1429809779	846250	-2.90184	-63.5962	21.2525	6.18726	-40.3735	2.87618	-9.6663	0.0814307	-0.105381	
1429809779	896516	-3.10903	-65.5387	21.8174	6.04827	-38.1554	2.6176	-9.72857	0.00958008	-0.167651	
1429809779	946345	-3.31255	-67.3703	22.367	5.84854	-35.9748	2.15546	-9.69983	0.0958008	-0.134121	
