time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429812253	392368	-0.0158805	-0.0136536	0.0155075	-0.234657	-0.567941	0.164838	0.100591	-0.0383203	-10.4327	
1429812253	442186	-0.0291328	-0.0371564	0.01744	-0.204557	-0.651065	0.276	0.119751	0.00958008	-10.5381	
1429812253	492207	-0.0537165	-0.0640837	0.00674944	-0.184784	-1.15831	-0.0382244	1.10171	-0.234712	-9.12502	
1429812253	542168	-0.0370919	-0.018754	0.00245439	-2.85174	-2.35328	0.231202	-0.0239502	-0.00479004	-10.1932	
1429812253	592276	-0.0537458	-0.0554919	0.0153762	-1.08083	0.113131	0.142355	0.0862207	-0.0718506	-10.5477	
1429812253	642195	-0.0661092	-0.0539757	-0.0010901	-0.370487	-0.164649	-0.0818713	0.0670606	0.00479004	-10.3417	
1429812253	692294	-0.085655	-0.0498489	0.0117167	0.0577933	-0.526937	0.0643461	0.0383203	-0.0335303	-10.38	
1429812253	742207	-0.0869735	-0.05611	-0.0128564	0.263335	-0.160119	-0.507463	0.138911	-0.0287402	-10.4135	
1429812253	792401	-0.107307	-0.056061	-0.00979075	-0.700317	-0.413105	0.440239	0.0910107	-0.0574805	-10.471	
1429812253	842233	-0.103872	-0.0774745	-0.0164489	-0.406653	-0.0860995	-0.4002	0.0431104	-0.0958008	-10.3273	
1429812253	892274	-0.110214	-0.0639987	-0.0167228	-0.421691	0.664325	0.497312	0.114961	-0.0287402	-10.4279	
1429812253	942160	-0.122115	-0.0843676	-0.0032266	0.0483481	-0.201653	-0.713856	0.148491	-0.158071	-10.4519	
1429812253	992290	-0.118437	-0.0733263	-0.0134539	-0.469549	0.146176	0.249503	0.0670606	-0.00958008	-10.2842	
1429812254	42189	-0.137839	-0.085506	-0.00396073	-0.00715388	-0.778475	-0.388264	-0.0479004	-0.143701	-10.4854	
1429812254	92209	-0.148712	-0.0857119	-0.0214869	-0.689592	-0.027102	0.0816347	0.0479004	0.00479004	-10.4854	
1429812254	142191	-0.159442	-0.0907342	-0.00387187	-0.175374	-0.133334	0.313812	0.186812	0.0143701	-10.313	
1429812254	192290	-0.176722	-0.0839624	-0.00285491	-0.627621	-0.140714	-0.262696	0.177231	-0.0718506	-10.2603	
1429812254	242172	-0.186819	-0.0811803	-0.0148489	-0.73627	0.374491	-0.205943	0.196392	-0.0287402	-10.4327	
1429812254	292271	-0.201155	-0.067275	-0.0254135	-0.61142	-0.0124268	-0.338875	0.143701	-0.0670606	-10.3848	
1429812254	342204	-0.203312	-0.0761227	-0.0415432	-0.347778	-0.768841	-0.0728488	0.110171	-0.0479004	-10.4854	
1429812254	392336	-0.195347	-0.0681417	-0.0453646	0.687294	0.0655179	-0.0595715	0.162861	-0.0526904	-10.4423	
1429812254	442212	-0.190695	-0.0551912	-0.0558977	0.0497166	0.232695	-0.213177	0.177231	-0.0622705	-10.4183	
1429812254	492344	-0.192359	-0.0680169	-0.0471192	-0.675352	-0.873392	-0.322006	0.0622705	-0.330513	-10.3417	
1429812254	542264	-0.180343	-0.0472066	-0.0586013	0.135863	0.859709	0.160621	-0.00479004	0.0622705	-10.495	
1429812254	592300	-0.196743	-0.07031	-0.0393586	-0.0481472	0.489229	0.347644	0.138911	-0.00479004	-10.4471	
1429812254	642256	-0.196359	-0.0678259	-0.0354766	-0.921908	-0.591905	-0.0385042	0.0143701	-0.172441	-10.4279	
1429812254	692295	-0.197674	-0.0930186	-0.0402291	0.318805	-0.812651	-1.04807	-0.172441	0.167651	-10.2315	
1429812254	742261	-0.243354	-0.113895	-0.0385618	-0.264285	0.293159	0.587143	0.0814307	-0.138911	-10.471	
1429812254	792333	-0.24201	-0.11201	-0.0254988	-0.0628844	0.906551	-0.0206088	0.153281	-0.119751	-10.6866	
1429812254	842214	-0.218021	-0.109061	-0.0314331	0.565108	-1.16692	0.0537568	0.0910107	0.0479004	-10.4231	
1429812254	892347	-0.21982	-0.0886582	-0.0404153	-0.0958772	0.526812	0.291473	0.167651	0.00958008	-10.495	
1429812254	942205	-0.230396	-0.0861094	-0.0162313	0.244402	0.00375137	0.231922	0.0431104	-0.0766406	-10.4375	
1429812254	992259	-0.224146	-0.0767497	-0.0323815	-0.0143192	0.163257	-0.539999	0.124541	0.0718506	-10.4662	
1429812255	42225	-0.249066	-0.067838	-0.0321428	-0.262096	0.231552	0.111882	0.158071	-0.0766406	-10.3656	
1429812255	92383	-0.232813	-0.0585986	-0.0248841	0.947228	0.0143808	0.0220818	0.186812	-0.296982	-10.2076	
1429812255	142356	-0.211975	-0.0339234	-0.0439721	1.10307	0.181876	-0.378097	0.0718506	0.0670606	-10.7728	
1429812255	192277	-0.187401	-0.0281312	-0.0314076	-0.276248	0.927766	0.194596	0.172441	-0.0910107	-10.5046	
1429812255	242258	-0.1904	-0.0275616	-0.01934	0.0514302	-0.153993	0.709177	0.129331	-0.0287402	-10.4231	
1429812255	292300	-0.211504	-0.0373166	0.00264543	0.579449	-0.5125	0.119488	0.134121	-0.0814307	-10.5812	
1429812255	342272	-0.231966	-0.0195091	-0.0013739	0.183436	-0.254471	-0.073531	0.110171	-0.220342	-10.198	
1429812255	392420	-0.221901	-0.020755	0.00486549	0.931326	-0.94258	0.352893	0.191602	-0.0814307	-10.3513	
1429812255	442214	-0.220229	-0.018302	-0.00105307	1.10307	0.0403599	-0.0832999	0.191602	-0.282612	-10.3321	
1429812255	492213	-0.211979	-0.022911	0.00541234	0.685182	-0.222411	-0.0832513	0.220342	-0.249082	-10.3752	
