time_s	time_us	ch_0	ch_1	ch_2	ch_3	ped_us	col_us	lon_us	lat_us	err_count
1429812253	454131	1408	992	1504	1512	0	0	0	0	0
1429812253	554155	1404	992	1508	1508	0	0	0	0	0
1429812253	654116	1404	996	1504	1512	0	0	0	0	0
1429812253	754123	1404	992	1508	1508	0	0	0	0	0
1429812253	854137	1408	988	1508	1508	0	0	0	0	0
1429812253	954135	1404	992	1508	1508	0	0	0	0	0
1429812254	54136	1404	992	1508	1508	0	0	0	0	0
1429812254	154128	1404	992	1508	1508	0	0	0	0	0
1429812254	254102	1404	992	1508	1508	0	0	0	0	0
1429812254	354117	1404	992	1508	1508	0	0	0	0	0
1429812254	454133	1404	992	1508	1508	0	0	0	0	0
1429812254	554140	1404	992	1504	1512	0	0	0	0	0
1429812254	654136	1404	992	1508	1508	0	0	0	0	0
1429812254	754137	1404	996	1504	1508	0	0	0	0	0
1429812254	854134	1404	996	1504	1508	0	0	0	0	0
1429812254	954135	1404	992	1508	1508	0	0	0	0	0
1429812255	54143	1404	996	1504	1512	0	0	0	0	0
1429812255	154135	1404	992	1508	1508	0	0	0	0	0
1429812255	254133	1404	996	1504	1512	0	0	0	0	0
1429812255	374151	1404	1004	1508	1512	0	0	0	0	0
1429812255	474137	1404	996	1504	1512	0	0	0	0	0
1429812255	574129	1404	996	1504	1512	0	0	0	0	0
1429812255	674148	1404	992	1508	1508	0	0	0	0	0
1429812255	774139	1404	992	1508	1508	0	0	0	0	0
1429812255	874142	1404	992	1508	1508	0	0	0	0	0
1429812255	974152	1404	992	1508	1508	0	0	0	0	0
1429812256	74138	1404	996	1504	1512	0	0	0	0	0
1429812256	174125	1404	1000	1500	1508	0	0	0	0	0
1429812256	274145	1404	996	1504	1512	0	0	0	0	0
1429812256	374148	1408	992	1508	1508	0	0	0	0	0
1429812256	474143	1408	992	1504	1512	0	0	0	0	0
1429812256	574163	1404	992	1508	1508	0	0	0	0	0
1429812256	674154	1404	996	1508	1508	0	0	0	0	0
1429812256	774164	1404	996	1504	1512	0	0	0	0	0
1429812256	874173	1404	996	1504	1508	0	0	0	0	0
1429812256	974190	1404	1000	1512	1500	0	0	0	0	0
1429812257	74177	1408	996	1504	1508	0	0	0	0	0
1429812257	174175	1404	996	1504	1512	0	0	0	0	0
1429812257	274178	1404	992	1504	1512	0	0	0	0	0
1429812257	374188	1404	992	1508	1508	0	0	0	0	0
1429812257	474188	1404	992	1508	1512	0	0	0	0	0
1429812257	574186	1404	992	1508	1508	0	0	0	0	0
1429812257	674193	1404	992	1508	1508	0	0	0	0	0
1429812257	774214	1404	992	1508	1508	0	0	0	0	0
1429812257	874192	1404	996	1504	1512	0	0	0	0	0
1429812257	974201	1404	992	1508	1508	0	0	0	0	0
1429812258	94277	1404	992	1508	1508	0	0	0	0	0
1429812258	194260	1408	992	1508	1508	0	0	0	0	0
1429812258	294133	1404	992	1508	1508	0	0	0	0	0
1429812258	394141	1404	992	1508	1508	0	0	0	0	0
1429812258	494141	1404	996	1504	1512	0	0	0	0	0
1429812258	594141	1404	992	1508	1508	0	0	0	0	0
1429812258	694122	1404	992	1508	1508	0	0	0	0	0
1429812258	794148	1404	996	1504	1512	0	0	0	0	0
1429812258	894143	1404	992	1508	1508	0	0	0	0	0
1429812258	994139	1400	996	1508	1508	0	0	0	0	0
1429812259	94142	1220	996	1504	1508	0	0	0	0	0
1429812259	194139	992	992	1508	1508	0	0	0	0	0
1429812259	294124	992	992	1508	1508	0	0	0	0	0
1429812259	394144	996	992	1504	1512	0	0	0	0	0
1429812259	494140	992	996	1504	1508	0	0	0	0	0
1429812259	594135	992	996	1504	1512	0	0	0	0	0
1429812259	694140	996	992	1508	1508	0	0	0	0	0
1429812259	794139	992	992	1508	1508	0	0	0	0	0
1429812259	894144	992	992	1508	1508	0	0	0	0	0
1429812259	994130	992	996	1504	1508	0	0	0	0	0
1429812260	94144	996	992	1508	1508	0	0	0	0	0
1429812260	194131	996	992	1508	1508	0	0	0	0	0
1429812260	294142	992	992	1508	1508	0	0	0	0	0
1429812260	394143	992	992	1508	1508	0	0	0	0	0
1429812260	494140	1032	992	1508	1508	0	0	0	0	0
1429812260	594126	1308	996	1504	1512	0	0	0	0	0
1429812260	694141	1404	996	1504	1512	0	0	0	0	0
1429812260	794146	1400	996	1504	1512	0	0	0	0	0
1429812260	894138	1404	992	1508	1512	0	0	0	0	0
1429812260	994143	1400	992	1508	1508	0	0	0	0	0
1429812261	94175	1400	992	1508	1508	0	0	0	0	0
1429812261	194125	1400	992	1508	1508	0	0	0	0	0
1429812261	294129	1564	996	1504	1512	0	0	0	0	0
1429812261	394138	1840	996	1504	1512	0	0	0	0	0
1429812261	494140	2012	992	1508	1508	0	0	0	0	0
1429812261	594150	2016	992	1508	1508	0	0	0	0	0
1429812261	694156	2032	976	1504	1512	0	0	0	0	0
1429812261	794170	2016	992	1504	1512	0	0	0	0	0
1429812261	894180	2012	996	1504	1512	0	0	0	0	0
1429812261	994198	2012	992	1508	1508	0	0	0	0	0
1429812262	94199	2016	992	1508	1508	0	0	0	0	0
1429812262	194188	2016	992	1508	1508	0	0	0	0	0
1429812262	294178	2016	992	1508	1508	0	0	0	0	0
1429812262	394182	2012	996	1504	1512	0	0	0	0	0
1429812262	494191	1712	1000	1504	1512	0	0	0	0	0
1429812262	594190	1428	1020	1504	1512	0	0	0	0	0
1429812262	694197	1408	1020	1508	1512	0	0	0	0	0
1429812262	794186	1408	1020	1508	1508	0	0	0	0	0
1429812262	894208	1408	1020	1508	1508	0	0	0	0	0
1429812262	994208	1408	1020	1504	1512	0	0	0	0	0
1429812263	94281	1408	1020	1504	1508	0	0	0	0	0
1429812263	194262	1408	1020	1504	1512	0	0	0	0	0
1429812263	294149	1408	1020	1504	1512	0	0	0	0	0
1429812263	394146	1408	1020	1508	1508	0	0	0	0	0
1429812263	494143	1408	1020	1504	1508	0	0	0	0	0
1429812263	594140	1408	1020	1508	1508	0	0	0	0	0
1429812263	694129	1408	1020	1504	1512	0	0	0	0	0
1429812263	794225	1408	1020	1508	1508	0	0	0	0	0
1429812263	894225	1408	1016	1508	1508	0	0	0	0	0
1429812263	994145	1404	1020	1504	1508	0	0	0	0	0
1429812264	94143	1404	1020	1508	1508	0	0	0	0	0
1429812264	194136	1408	1016	1508	1508	0	0	0	0	0
1429812264	314125	1408	1020	1508	1508	0	0	0	0	0
1429812264	414164	1404	1028	1512	1508	0	0	0	0	0
1429812264	514150	1408	1020	1508	1508	0	0	0	0	0
1429812264	614139	1408	1020	1508	1508	0	0	0	0	0
1429812264	714139	1408	1020	1508	1508	0	0	0	0	0
1429812264	814145	1404	1020	1508	1508	0	0	0	0	0
1429812264	914143	1408	1020	1508	1508	0	0	0	0	0
1429812265	34202	1408	1020	1512	1504	0	0	0	0	0
1429812265	134146	1408	1020	1504	1508	0	0	0	0	0
1429812265	234166	1408	1020	1504	1508	0	0	0	0	0
1429812265	334145	1404	1020	1508	1508	0	0	0	0	0
1429812265	434153	1408	1020	1504	1512	0	0	0	0	0
1429812265	534141	1408	1052	1508	1508	0	0	0	0	0
1429812265	634158	1408	1108	1504	1512	0	0	0	0	0
1429812265	734149	1408	1136	1504	1512	0	0	0	0	0
1429812265	834145	1408	1180	1504	1512	0	0	0	0	0
1429812265	934152	1404	1204	1508	1508	0	0	0	0	0
1429812266	54148	1408	1208	1508	1508	0	0	0	0	0
1429812266	174150	1408	1208	1508	1508	0	0	0	0	0
1429812266	274133	1408	1208	1504	1512	0	0	0	0	0
1429812266	374158	1408	1204	1508	1508	0	0	0	0	0
1429812266	474178	1404	1204	1508	1508	0	0	0	0	0
1429812266	574181	1408	1208	1508	1508	0	0	0	0	0
1429812266	674176	1408	1216	1504	1512	0	0	0	0	0
1429812266	774182	1408	1228	1504	1512	0	0	0	0	0
1429812266	874199	1404	1248	1508	1508	0	0	0	0	0
1429812266	974210	1408	1260	1504	1508	0	0	0	0	0
1429812267	74215	1408	1272	1504	1512	0	0	0	0	0
1429812267	174221	1408	1276	1508	1508	0	0	0	0	0
1429812267	274238	1408	1276	1508	1508	0	0	0	0	0
1429812267	374220	1404	1280	1504	1512	0	0	0	0	0
1429812267	474212	1408	1280	1504	1512	0	0	0	0	0
1429812267	574212	1404	1288	1504	1512	0	0	0	0	0
1429812267	674235	1404	1292	1508	1508	0	0	0	0	0
1429812267	774227	1404	1312	1504	1512	0	0	0	0	0
1429812267	874261	1408	1336	1508	1508	0	0	0	0	0
1429812267	974176	1404	1364	1508	1508	0	0	0	0	0
1429812268	74359	1404	1380	1508	1508	0	0	0	0	0
1429812268	174183	1404	1396	1508	1508	0	0	0	0	0
1429812268	274140	1408	1416	1508	1508	0	0	0	0	0
1429812268	374165	1408	1436	1508	1508	0	0	0	0	0
1429812268	474155	1408	1448	1508	1508	0	0	0	0	0
1429812268	574140	1404	1460	1504	1512	0	0	0	0	0
1429812268	674149	1408	1464	1508	1508	0	0	0	0	0
1429812268	774159	1408	1476	1508	1508	0	0	0	0	0
