time_s	time_us	ax	ay	az	gx	gy	gz	mx	my	mz	pressure	temp	runtime_average_ms	
1429813804	919197	7	23	-2092	-58	-17	623	-191	-17	557	1002.46	29.15	0	
1429813805	19181	15	14	-2086	-50	-15	623	-186	-5	557	1002.5	29.14	0	
1429813805	119198	1	27	-2091	-57	-19	625	-182	1	556	1002.51	29.15	0	
1429813805	219205	6	26	-2090	-64	-19	624	-178	10	555	1002.51	29.15	0	
1429813805	319222	6	28	-2083	-62	-23	632	-172	18	556	1002.4	29.16	0	
1429813805	419205	9	28	-2083	-65	-18	624	-168	24	556	1002.44	29.16	0	
1429813805	519199	18	16	-2081	-66	-18	632	-161	32	552	1002.29	29.16	0	
1429813805	619176	11	28	-2082	-66	-20	630	-157	38	554	1002.47	29.16	0	
1429813805	719177	7	28	-2080	-66	-19	625	-147	45	554	1002.59	29.16	0	
1429813805	819210	16	27	-2086	-71	-20	630	-145	52	551	1002.53	29.17	0	
1429813805	919218	8	25	-2100	-68	-22	630	-137	57	554	1002.6	29.17	3.45837	
1429813806	19300	6	30	-2070	-67	-22	631	-130	66	551	1002.41	29.17	3.45837	
1429813806	119309	-1	15	-2096	-66	-22	632	-124	68	550	1002.4	29.16	3.45837	
1429813806	219251	3	15	-2090	-60	-22	632	-117	75	551	1002.49	29.15	3.45837	
1429813806	319241	15	22	-2073	-59	-29	636	-109	80	549	1002.52	29.17	3.45837	
1429813806	419269	13	29	-2104	-65	-27	631	-100	87	549	1002.49	29.17	3.45837	
1429813806	519275	10	27	-2069	-63	-26	635	-92	92	547	1002.58	29.18	3.45837	
1429813806	619257	-1	30	-2085	-56	-26	633	-84	95	546	1002.69	29.18	3.45837	
1429813806	719256	14	28	-2060	-52	-25	636	-77	101	544	1002.4	29.16	3.45837	
1429813806	819247	12	7	-2068	-57	-27	640	-68	102	545	1002.47	29.18	3.45837	
1429813806	919262	11	27	-2081	-57	-26	639	-59	107	544	1002.63	29.18	3.46278	
1429813807	19246	22	13	-2108	-54	-23	641	-51	113	543	1002.53	29.17	3.46278	
1429813807	119264	4	24	-2090	-50	-18	640	-43	115	543	1002.41	29.17	3.46278	
1429813807	219290	5	32	-2081	-50	-23	641	-32	119	541	1002.59	29.17	3.46278	
1429813807	319295	9	11	-2094	-52	-17	638	-23	121	539	1002.58	29.18	3.46278	
1429813807	419250	11	28	-2078	-53	-16	637	-14	123	540	1002.55	29.18	3.46278	
1429813807	519267	-2	14	-2081	-58	-22	639	-6	126	538	1002.54	29.18	3.46278	
1429813807	619295	12	35	-2089	-59	-17	641	5	127	537	1002.52	29.18	3.46278	
1429813807	719308	15	25	-2069	-58	-12	641	13	130	537	1002.6	29.17	3.46278	
1429813807	819345	-4	21	-2073	-56	-15	645	22	130	535	1002.68	29.17	3.46278	
1429813807	919295	-6	18	-2084	-61	-16	639	30	131	535	1002.66	29.18	3.45618	
1429813808	19196	11	15	-2093	-68	-18	645	41	132	533	1002.6	29.17	3.45618	
1429813808	119220	27	24	-2085	-65	-17	643	50	132	533	1002.58	29.18	3.45618	
1429813808	219417	23	19	-2067	-63	-17	641	62	131	533	1002.57	29.17	3.45618	
1429813808	319375	6	30	-2086	-66	-18	645	70	130	531	1002.51	29.18	3.45618	
1429813808	419235	0	17	-2081	-62	-23	645	80	130	530	1002.56	29.18	3.45618	
1429813808	519239	9	33	-2077	-61	-20	645	88	129	529	1002.57	29.19	3.45618	
1429813808	619239	3	30	-2083	-71	-25	646	101	126	529	1002.59	29.18	3.45618	
1429813808	719265	8	18	-2087	-63	-19	652	108	124	527	1002.65	29.18	3.45618	
1429813808	819225	9	27	-2092	-60	-22	645	117	122	527	1002.46	29.18	3.45618	
1429813808	919239	16	27	-2079	-60	-26	651	129	119	526	1002.61	29.19	3.45748	
1429813809	19226	4	20	-2074	-58	-24	652	135	119	525	1002.64	29.19	3.45748	
1429813809	119226	7	33	-2075	-57	-22	655	144	114	523	1002.58	29.2	3.45748	
