time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429813804	880655	-0.0750632	-0.00703285	0.611451	-2.74717	-0.217836	22.7363	0.0718506	0.134121	-9.94891	
1429813804	930744	-0.200647	-0.02285	1.71795	-2.10406	-0.301193	22.0694	0.00479004	0.0670606	-9.9058	
1429813804	980702	-0.311821	-0.029413	2.82755	-2.48745	0.429078	22.3234	0.0431104	0.177231	-9.86748	
1429813805	30783	-0.424538	-0.0257559	3.91908	-2.051	-0.00144165	21.5746	0.0622705	0.134121	-9.92017	
1429813805	80720	-0.507558	-0.0163161	4.9832	-1.19647	-0.312252	21.3608	0.129331	0.0526904	-9.96807	
1429813805	130809	-0.596439	-0.00780203	6.04258	-2.00619	-0.586827	21.0889	0.0335303	0.0862207	-10.0016	
1429813805	180711	-0.680541	-0.010995	7.0847	-1.59684	-0.530099	20.6587	0.0287402	0.114961	-9.9537	
1429813805	230803	-0.773646	-0.0082623	8.12416	-1.91336	-0.501356	20.6334	0.0431104	0.114961	-10.0112	
1429813805	280764	-0.853311	-0.00888926	9.13853	-1.36181	-0.0854016	20.4197	-0.00958008	0.162861	-10.0064	
1429813805	330864	-0.929336	-0.00645365	10.1454	-0.794779	-0.206725	20.2192	0.0287402	0.0862207	-9.97765	
1429813805	380676	-1.01278	-0.00473527	11.1289	-1.79511	-0.622992	19.5038	0.0479004	0.143701	-10.0256	
1429813805	430678	-1.08111	-0.00122052	12.1079	-1.1145	-0.587072	19.581	0.0526904	0.105381	-9.97286	
1429813805	480625	-1.15096	0.00210888	13.0677	-1.23176	-0.13883	19.0775	0.0335303	0.148491	-10.0351	
1429813805	530773	-1.22291	0.0177579	14.0053	-1.58238	0.0595657	18.757	0.00958008	0.0862207	-9.99681	
1429813805	580647	-1.27812	0.0358104	14.9362	-1.25293	0.0524769	18.3968	0.00958008	0.0622705	-9.94891	
1429813805	630722	-1.33159	0.0475173	15.85	-1.13082	-0.196614	18.3433	0.0479004	0.182021	-9.97765	
1429813805	680864	-1.38722	0.0628991	16.7432	-0.902844	0.0371496	17.8006	0.105381	0.129331	-9.9537	
1429813805	730747	-1.42668	0.0776544	17.6123	-0.58314	-0.0642272	17.0506	0.0191602	0.114961	-9.93933	
1429813805	780683	-1.4662	0.0828827	18.4671	-0.461999	-0.246896	17.1466	0.0479004	0.138911	-9.99202	
1429813805	830866	-1.51575	0.0928978	19.3173	-1.27702	-0.268118	16.9018	0.124541	0.0479004	-9.95849	
1429813805	880690	-1.55282	0.108863	20.1428	-1.04822	-0.238284	16.2646	0.0143701	0.138911	-10.0208	
1429813805	930702	-1.59221	0.112391	20.9573	-1.02292	-0.324386	16.0075	0.0574805	0.196392	-10.0303	
1429813805	980728	-1.62221	0.122782	21.7482	-0.356316	-0.189145	15.4237	0.0622705	0.129331	-9.92975	
1429813806	30724	-1.64886	0.143205	22.5338	-0.696752	-0.0665091	15.5082	0.0479004	0.0862207	-9.96807	
1429813806	80756	-1.66618	0.145235	23.2775	-0.2322	-0.372046	15.0381	0.0239502	0.148491	-10.0543	
1429813806	130677	-1.6898	0.154234	24.0211	-0.507006	-0.164642	14.7014	-0.0191602	0.105381	-9.93454	
1429813806	180633	-1.70498	0.151262	24.7441	-0.125151	-0.596548	14.229	0.00479004	0.0862207	-9.97765	
1429813806	230673	-1.7092	0.152539	25.4482	0.232768	-0.226857	13.9018	-0.00479004	0.134121	-9.91059	
1429813806	280761	-1.71965	0.149151	26.1259	-0.204093	-0.495177	13.532	0.0287402	0.0766406	-9.93933	
1429813806	330755	-1.71845	0.151108	26.7937	0.0880402	-0.423825	13.4531	0.0670606	0.153281	-10.0016	
1429813806	380683	-1.72799	0.154964	27.4294	0.0979948	-0.32204	12.7059	0.0383203	0.100591	-9.88664	
1429813806	430769	-1.74804	0.150915	28.0529	-0.398449	-0.482525	12.1966	0.0287402	0.124541	-9.97765	
1429813806	480694	-1.76053	0.158373	28.638	-0.16497	-0.162072	11.7167	0.0335303	0.143701	-9.98244	
1429813806	530779	-1.75939	0.15313	29.2149	-0.307184	-0.383756	11.3929	0.0670606	0.134121	-9.94412	
1429813806	580708	-1.75749	0.155942	29.7542	0.254497	0.19728	10.6385	0	0.119751	-9.97765	
1429813806	630823	-1.75063	0.144882	30.28	0.154674	-0.783615	10.3435	0.0431104	0.0910107	-9.92017	
1429813806	680639	-1.75137	0.148607	30.7769	0.116704	0.0280842	9.84268	-0.00958008	0.0958008	-9.92496	
1429813806	730877	-1.74934	0.149172	31.2618	0.132145	-0.252671	9.86901	0.0191602	0.0958008	-9.98723	
1429813806	780721	-1.7387	0.15373	31.7168	0.253443	-0.304958	8.78035	0.0479004	0.0814307	-9.94891	
1429813806	830822	-1.73326	0.143985	32.1573	0.0544217	-0.643565	8.8376	0.0383203	0.143701	-10.016	
1429813806	880667	-1.72237	0.147419	32.5564	-0.258864	-0.332971	8.16224	0.0574805	0.167651	-10.0016	
1429813806	930772	-1.71949	0.153636	32.9319	-0.324755	0.0172539	7.51901	0	0.0622705	-9.96807	
1429813806	980685	-1.72673	0.153851	33.285	-0.469302	-0.0239489	6.63352	0.0143701	0.148491	-9.91538	
1429813807	30771	-1.73331	0.14999	33.612	0.318476	-0.326638	6.34014	0.0622705	0.143701	-9.97286	
1429813807	80709	-1.73804	0.163224	33.9026	-0.110895	0.0528461	5.58886	0.0670606	0.0862207	-10.0256	
1429813807	130775	-1.72871	0.169489	34.1737	0.136861	-0.0065279	5.24179	0.0287402	0.110171	-10.0112	
1429813807	180715	-1.71715	0.171363	34.4225	0.325009	-0.154312	4.76586	0.0143701	0.148491	-10.0064	
1429813807	230822	-1.70957	0.159981	34.6411	0.680036	-0.372042	4.55532	0.0143701	0.124541	-9.99681	
1429813807	280751	-1.70872	0.158899	34.8233	-0.00502734	0.0629238	3.63791	0.0766406	0.134121	-10.0447	
1429813807	330813	-1.69839	0.160957	34.9832	0.458811	0.053264	3.00347	0.0479004	0.124541	-9.97286	
1429813807	380731	-1.68987	0.170219	35.1155	0.212119	-0.148904	2.55117	0.0718506	0.114961	-9.9537	
1429813807	430705	-1.68087	0.193336	35.2186	-0.138388	0.358681	1.50166	0.0431104	0.110171	-10.083	
1429813807	480672	-1.67654	0.196645	35.2907	0.603313	0.0669673	1.25881	-0.00958008	0.105381	-10.0256	
1429813807	530780	-1.67014	0.191814	35.3458	0.311391	-0.211931	0.854122	0.00479004	0.100591	-9.98723	
1429813807	580728	-1.67209	0.191765	35.3722	-0.0323229	-0.0941311	0.584637	0.0574805	0.105381	-9.97765	
1429813807	630866	-1.67834	0.196765	35.3676	0.0605737	0.214804	-0.354193	0.0766406	0.0814307	-9.98723	
1429813807	680664	-1.68272	0.214315	35.3318	-0.279939	0.340582	-0.782506	0.0670606	0.0574805	-9.9537	
1429813807	730764	-1.67777	0.220604	35.2729	0.187375	0.242014	-1.29575	0.0143701	0.0958008	-10.0399	
1429813807	780726	-1.67869	0.227932	35.18	0.277879	0.22123	-2.07354	0.0431104	0.0910107	-9.92496	
1429813807	830770	-1.6778	0.233809	35.0635	0.074142	0.293122	-2.64522	0.0335303	0.138911	-9.91538	
1429813807	880703	-1.67531	0.240304	34.9148	0.430906	-0.230937	-3.05741	0.00958008	0.100591	-10.0016	
1429813807	930786	-1.67237	0.244758	34.7507	0.337503	0.264544	-3.40826	0.0670606	0.114961	-9.93454	
1429813807	980707	-1.67295	0.245723	34.5576	-0.06767	0.0092667	-4.38025	0.0526904	0.0862207	-9.89622	
1429813808	30817	-1.67274	0.248207	34.3311	0.0899094	-0.0462543	-4.5783	-0.0143701	0.134121	-9.86748	
1429813808	80672	-1.67816	0.243923	34.0933	-0.262881	0.309228	-5.15564	0.0718506	0.105381	-9.97286	
1429813808	130802	-1.69695	0.25335	33.8272	-0.85016	0.492327	-5.46245	0.0574805	0.114961	-10.0256	
1429813808	180674	-1.70266	0.269764	33.5356	0.248243	0.477877	-5.76605	0.0287402	0.0766406	-9.99681	
1429813808	231035	-1.71046	0.27066	33.2159	-0.258233	0.39108	-6.73599	0.0910107	0.119751	-9.94891	
1429813808	281040	-1.71308	0.281432	32.8771	-0.306357	0.509173	-6.80783	0.0814307	0.114961	-9.93933	
1429813808	330758	-1.71175	0.296713	32.5221	-0.0403271	0.593038	-7.48929	0.0287402	0.119751	-9.98723	
1429813808	380723	-1.71644	0.289923	32.1473	0.0591192	-0.0953218	-7.3777	0.0526904	0.105381	-9.94412	
1429813808	430777	-1.70871	0.292324	31.749	0.33674	0.139234	-8.07603	0.0479004	0.0766406	-10.016	
1429813808	480745	-1.702	0.283999	31.3349	0.284282	-0.330959	-8.37702	0.0335303	0.100591	-9.99681	
1429813808	530817	-1.70572	0.278029	30.912	-0.0748592	0.0252293	-8.71641	0	0.158071	-9.92975	
1429813808	580763	-1.72229	0.257597	30.4664	0.0954947	-0.508791	-9.11442	0.0670606	0.153281	-10.0016	
1429813808	630818	-1.73411	0.250422	30.0151	-0.344143	-0.0996273	-9.29325	0.0287402	0.0718506	-10.0399	
1429813808	680779	-1.74037	0.238514	29.5459	0.313562	0.205186	-9.46623	0.0622705	0.148491	-10.0447	
1429813808	730714	-1.73244	0.237391	29.0725	0.2636	0.518604	-9.4005	0.0143701	0.172441	-10.0016	
1429813808	780838	-1.73564	0.221752	28.5983	0.233353	-0.0836674	-9.52316	0.0670606	0.124541	-9.98723	
1429813808	830843	-1.73263	0.228535	28.1083	0.482029	0.45094	-10.0287	0.0191602	0.138911	-9.96328	
1429813808	880697	-1.7322	0.21645	27.6164	0.197562	0.318153	-9.91198	0.0526904	0.167651	-9.93454	
1429813808	930740	-1.72869	0.202569	27.1133	0.526148	0.0506189	-10.1173	0.0143701	0.100591	-9.93454	
1429813808	980720	-1.71957	0.205383	26.6077	0.0888444	0.424213	-9.9011	0.0287402	0.110171	-9.96807	
1429813809	30765	-1.71368	0.195631	26.0972	0.0058253	-0.410417	-10.1204	0.0574805	0.119751	-9.90101	
1429813809	80776	-1.7108	0.191843	25.5921	0.038286	0.114205	-10.1202	0.0287402	0.110171	-9.98723	
1429813809	130751	-1.71003	0.184221	25.0862	-0.129658	0.393995	-10.2016	0.0383203	0.114961	-9.95849	
1429813809	180737	-1.70882	0.168572	24.5846	-0.199382	-0.300471	-10.0917	-0.0766406	0.220342	-9.93933	
1429813809	230749	-1.71833	0.155677	24.0774	-0.529799	-0.0179557	-10.0059	0.153281	0.205972	-9.86748	
1429813809	280786	-1.70801	0.166451	23.5804	0.662937	1.00915	-10.0555	0.0191602	0.0670606	-9.97765	
1429813809	330768	-1.69304	0.163751	23.0962	0.390806	0.0901043	-9.55018	0.0862207	0.110171	-9.89143	
1429813809	380763	-1.69221	0.178441	22.613	0.237932	0.753552	-9.59529	0.105381	0.0910107	-9.94891	
1429813809	430802	-1.67202	0.178182	22.1388	0.661735	-0.0224015	-9.55305	0.0526904	0.158071	-10.0351	
1429813809	480734	-1.65699	0.180845	21.6808	0.404202	0.59149	-9.19434	0.00479004	0.124541	-9.92975	
1429813809	530824	-1.63509	0.179283	21.2369	0.251883	0.0415714	-8.72924	0.0670606	0.0814307	-9.98723	
1429813809	580780	-1.62115	0.177239	20.797	0.0809011	0.650271	-8.81524	0.0287402	0.129331	-10.0495	
1429813809	630821	-1.60927	0.16451	20.3713	0.310519	-0.147662	-8.42617	0.00479004	0.0958008	-9.99202	
1429813809	680770	-1.59272	0.161608	19.9751	0.264866	-0.149093	-7.94651	-0.00958008	0.0814307	-10.0064	
1429813809	730698	-1.58188	0.165254	19.5771	0.21642	0.54073	-7.87946	0.0143701	0.143701	-10.0639	
1429813809	780715	-1.57275	0.163243	19.2103	0.13887	0.119154	-7.2003	0.0862207	0.205972	-9.99202	
1429813809	830816	-1.56947	0.169784	18.8577	0.432744	0.0779454	-6.7549	0.0431104	0.105381	-9.86748	
1429813809	880811	-1.55657	0.175954	18.5167	0.336415	0.503859	-7.04036	0.0239502	0.100591	-9.97765	
1429813809	930730	-1.54263	0.191549	18.1974	-0.0406392	0.570686	-6.37575	-0.0479004	0.119751	-9.95849	
1429813809	980696	-1.53582	0.182035	17.9056	-0.126524	-0.471072	-5.56313	-0.00958008	0.0862207	-10.0447	
1429813810	30734	-1.53574	0.176118	17.6335	-0.277518	0.122666	-5.12165	0.0287402	0.143701	-9.97286	
1429813810	80725	-1.53883	0.174876	17.3792	-0.108758	-0.305609	-5.07461	0.0143701	0.0766406	-9.98723	
1429813810	130776	-1.52607	0.171471	17.1502	0.387287	0.0475494	-4.43855	0.0431104	0.0335303	-9.9537	
1429813810	180752	-1.51081	0.163443	16.9571	-0.11687	-0.800391	-3.8429	0.0766406	0.186812	-10.0735	
1429813810	230776	-1.53119	0.194863	16.7555	-0.638435	1.48898	-3.47977	0.0479004	0.244292	-9.87227	
1429813810	280767	-1.51295	0.204881	16.5942	0.452826	1.43186	-2.73792	0.0335303	0.234712	-9.79084	
1429813810	330793	-1.52888	0.202724	16.4547	0.194581	0.057481	-2.89403	0.134121	-0.143701	-10.0256	
1429813810	380979	-1.53901	0.20205	16.3262	-1.10301	-0.240643	-2.28109	0.114961	-0.0479004	-9.87227	
1429813810	430636	-1.52416	0.216663	16.2313	-0.895578	0.250325	-1.83313	0.0143701	0.110171	-10.0064	
