time_s	time_us	ax	ay	az	gx	gy	gz	mx	my	mz	pressure	temp	runtime_average_ms	
1429813407	147918	72	96	-2065	-103	-23	-1	312	-173	528	1002.21	28.26	0	
1429813407	247876	78	96	-2089	-99	-24	-6	310	-172	528	1002.21	28.26	0	
1429813407	347851	66	88	-2093	-104	-30	-3	311	-173	528	1002.23	28.25	0	
1429813407	447836	79	97	-2085	-104	-26	-7	312	-173	529	1002.29	28.26	0	
1429813407	547857	79	102	-2089	-105	-27	-7	311	-172	529	1002.25	28.24	0	
1429813407	647842	80	103	-2084	-105	-32	-6	310	-173	528	1002.2	28.25	0	
1429813407	747858	80	102	-2081	-109	-24	-9	310	-173	528	1002.15	28.26	0	
1429813407	847875	72	103	-2091	-106	-31	-6	311	-173	529	1002.27	28.27	0	
1429813407	947821	87	103	-2087	-102	-25	-6	311	-173	528	1002.26	28.26	0	
1429813408	47837	73	102	-2080	-108	-24	-1	311	-173	527	1002.34	28.27	0	
1429813408	147862	79	90	-2104	-108	-24	-7	311	-172	527	1002.29	28.26	3.20539	
1429813408	247869	69	103	-2083	-107	-29	-5	311	-173	527	1002.23	28.27	3.20539	
1429813408	347854	73	103	-2093	-102	-25	-7	312	-174	527	1002.35	28.27	3.20539	
1429813408	447829	85	88	-2093	-102	-28	-5	310	-173	528	1002.19	28.27	3.20539	
1429813408	547876	88	102	-2108	-104	-24	-5	310	-173	529	1002.26	28.26	3.20539	
1429813408	647876	70	92	-2060	-105	-17	-9	308	-171	526	1002.32	28.26	3.20539	
1429813408	747869	74	97	-2087	-106	-25	-5	313	-171	528	1002.15	28.27	3.20539	
1429813408	847883	87	98	-2096	-109	-26	-6	311	-173	529	1002.29	28.28	3.20539	
1429813408	947851	83	103	-2072	-105	-29	-9	311	-174	527	1002.27	28.27	3.20539	
1429813409	47918	77	98	-2093	-103	-24	-8	313	-172	527	1002.22	28.26	3.20539	
1429813409	147873	78	91	-2088	-102	-24	-4	312	-172	528	1002.32	28.28	3.39603	
1429813409	247886	77	100	-2086	-104	-26	-8	311	-172	526	1002.2	28.27	3.39603	
1429813409	347893	82	107	-2077	-106	-24	-4	311	-173	528	1002.15	28.26	3.39603	
1429813409	447876	90	105	-2100	-104	-25	-1	312	-174	530	1002.22	28.28	3.39603	
1429813409	547920	79	100	-2100	-106	-24	-6	311	-172	527	1002.24	28.27	3.39603	
1429813409	647911	92	101	-2076	-103	-24	-8	312	-173	530	1002.3	28.27	3.39603	
1429813409	747891	62	97	-2089	-105	-29	-5	311	-172	527	1002.27	28.27	3.39603	
1429813409	847902	81	103	-2068	-105	-27	-9	311	-173	526	1002.14	28.28	3.39603	
1429813409	947870	89	96	-2089	-99	-28	-7	312	-173	528	1002.18	28.28	3.39603	
1429813410	47906	85	91	-2095	-105	-27	-10	311	-173	529	1002.41	28.28	3.39603	
1429813410	147922	92	107	-2105	-104	-25	-8	312	-175	528	1002.25	28.28	3.44841	
1429813410	247941	81	94	-2087	-108	-20	-5	311	-172	528	1002.24	28.27	3.44841	
1429813410	347927	70	96	-2076	-105	-23	-4	310	-173	528	1002.26	28.28	3.44841	
1429813410	447886	94	94	-2099	-105	-22	-5	312	-172	528	1002.24	28.27	3.44841	
1429813410	547893	70	99	-2068	-109	-30	-6	311	-173	528	1002.15	28.28	3.44841	
1429813410	647922	72	109	-2084	-103	-24	-5	312	-172	527	1002.33	28.28	3.44841	
1429813410	747935	87	90	-2080	-105	-22	0	311	-174	527	1002.25	28.28	3.44841	
1429813410	847908	75	99	-2102	-103	-19	-9	309	-172	528	1002.27	28.29	3.44841	
1429813410	947884	70	83	-2082	-109	-26	-8	311	-174	528	1002.36	28.29	3.44841	
1429813411	47903	81	88	-2095	-104	-26	-6	311	-172	528	1002.29	28.28	3.44841	
1429813411	147892	79	92	-2087	-105	-25	-11	312	-173	527	1002.19	28.28	3.591	
1429813411	247909	80	105	-2091	-106	-24	-6	312	-173	527	1002.28	28.29	3.591	
1429813411	347916	72	95	-2088	-105	-27	-4	311	-172	527	1002.24	28.29	3.591	
1429813411	447891	78	109	-2085	-106	-25	-6	310	-172	529	1002.24	28.29	3.591	
1429813411	547922	72	101	-2066	-102	-29	-8	311	-172	529	1002.26	28.28	3.591	
1429813411	647940	77	94	-2085	-103	-21	-5	311	-172	527	1002.28	28.29	3.591	
1429813411	747882	71	91	-2067	-101	-23	-6	310	-173	527	1002.22	28.28	3.591	
1429813411	847903	85	94	-2088	-109	-25	-3	312	-173	529	1002.25	28.3	3.591	
1429813411	947876	71	108	-2072	-103	-25	-9	311	-173	526	1002.17	28.29	3.591	
1429813412	47917	79	89	-2081	-100	-28	-2	310	-173	528	1002.21	28.29	3.591	
