time_s	time_us	phi_deg	theta_deg	psi_deg	p_deg_s	q_deg_s	r_deg_s	ax_ms2	ay_ms2	az_ms2	
1429813407	109428	-0.201941	0.0705087	0.0432958	-6.15436	2.32958	5.10596	0.383203	0.431104	-9.93933	
1429813407	159228	-0.522248	0.171625	0.270889	-6.3645	2.39937	4.39635	0.311353	0.435894	-10.0591	
1429813407	209364	-0.827241	0.271002	0.464023	-6.26599	1.80803	3.77323	0.378413	0.426313	-9.87706	
1429813407	259247	-1.12056	0.359206	0.631848	-5.72186	1.85359	3.12415	0.364043	0.474214	-10.0399	
1429813407	309363	-1.38664	0.456467	0.769522	-5.06073	1.64516	2.32474	0.402363	0.455054	-10.0016	
1429813407	359260	-1.63063	0.538393	0.874669	-4.32976	1.26199	1.982	0.402363	0.498164	-9.92975	
1429813407	409378	-1.8521	0.611114	0.964462	-4.24051	1.26599	1.57333	0.378413	0.488584	-10.0016	
1429813407	459231	-2.04943	0.676607	1.0265	-3.92749	1.08617	1.19113	0.368833	0.450264	-9.97286	
1429813407	509234	-2.24887	0.747869	1.07163	-3.75183	1.75751	0.635927	0.349673	0.488584	-10.0543	
1429813407	559296	-2.44286	0.809545	1.09859	-3.92495	1.31355	0.489538	0.392783	0.517324	-10.0735	
1429813407	609318	-2.61922	0.868479	1.10688	-3.46006	1.16251	0.258514	0.373623	0.488584	-10.016	
1429813407	659225	-2.78635	0.920073	1.10036	-3.12885	0.752522	-0.0858001	0.387993	0.450264	-10.0256	
1429813407	709338	-2.93537	0.970744	1.08779	-2.95482	0.918524	-0.104729	0.378413	0.474214	-10.0256	
1429813407	759320	-3.05998	1.02732	1.06144	-2.38541	0.80547	-0.634938	0.354463	0.479004	-9.90101	
1429813407	809356	-3.18585	1.06573	1.02345	-2.28424	1.05042	-0.902271	0.378413	0.479004	-10.0543	
1429813407	859262	-3.32197	1.11594	0.971635	-3.11653	1.00883	-1.04045	0.349673	0.479004	-10.0208	
1429813407	909193	-3.44119	1.15321	0.917478	-2.50517	1.06029	-1.13666	0.354463	0.455054	-9.92975	
1429813407	959246	-3.55291	1.19201	0.861233	-2.01785	0.862185	-1.19812	0.359253	0.464634	-10.0064	
1429813408	9236	-3.64756	1.22168	0.788494	-1.78989	-0.017358	-1.34398	0.416733	0.483794	-9.99202	
1429813408	59237	-3.7486	1.26042	0.719584	-2.11029	0.89384	-1.09788	0.450264	0.421523	-10.0591	
1429813408	109234	-3.8283	1.2948	0.637253	-1.73783	0.72339	-1.60246	0.354463	0.474214	-9.99202	
1429813408	159242	-3.90509	1.32374	0.552486	-1.78628	0.57952	-1.76824	0.450264	0.536484	-9.9058	
1429813408	209439	-3.97726	1.35479	0.472937	-1.42067	0.643819	-1.37372	0.335303	0.445474	-9.96807	
1429813408	259262	-4.04812	1.36696	0.389912	-1.34503	0.632229	-1.61012	0.359253	0.383203	-10.0208	
1429813408	309279	-4.09773	1.38325	0.310168	-0.995098	0.685143	-1.87275	0.397573	0.474214	-9.96328	
1429813408	359213	-4.15272	1.40733	0.22049	-0.509343	0.96011	-1.70779	0.387993	0.479004	-10.0016	
1429813408	409328	-4.2118	1.4376	0.133611	-1.54409	1.0124	-1.78617	0.407153	0.469424	-10.0303	
1429813408	459562	-4.2602	1.4648	0.0406718	-1.0841	0.934252	-1.68139	0.435894	0.459844	-9.99681	
1429813408	509598	-4.29821	1.49838	-0.0553249	-0.963608	0.501483	-1.80483	0.330513	0.479004	-9.98723	
1429813408	559617	-4.33154	1.51106	-0.155135	-0.502589	0.407855	-2.02226	0.392783	0.526904	-10.0112	
1429813408	609230	-4.37616	1.52751	-0.240401	-1.13631	0.308003	-1.52547	0.411943	0.445474	-10.0351	
1429813408	659234	-4.40478	1.55032	-0.331377	-0.255825	0.771141	-1.92877	0.407153	0.450264	-10.0208	
1429813408	709246	-4.4372	1.56627	-0.427083	-0.930259	0.743599	-1.77962	0.387993	0.522114	-10.0016	
1429813408	759235	-4.47341	1.59529	-0.511621	-0.626657	0.689869	-1.60854	0.364043	0.517324	-9.97286	
1429813408	809295	-4.50966	1.59837	-0.604064	-0.405001	0.153282	-1.6764	0.402363	0.464634	-10.0303	
1429813408	859270	-4.53253	1.60666	-0.689958	-0.123807	0.243715	-1.59437	0.301772	0.464634	-10.0112	
1429813408	909274	-4.54799	1.60948	-0.771619	-0.301356	0.358098	-1.90207	0.320933	0.464634	-9.96328	
1429813408	959350	-4.56494	1.6086	-0.855224	-0.452083	0.202516	-1.6358	0.349673	0.459844	-9.98244	
