time_s	time_us	ch_0	ch_1	ch_2	ch_3	ped_us	col_us	lon_us	lat_us	err_count
1429813407	173398	1404	1000	1504	1508	0	0	0	0	0
1429813407	273399	1404	1000	1504	1508	0	0	0	0	0
1429813407	373420	1404	996	1504	1512	0	0	0	0	0
1429813407	473406	1404	996	1508	1508	0	0	0	0	0
1429813407	573407	1404	996	1504	1508	0	0	0	0	0
1429813407	673413	1404	996	1504	1508	0	0	0	0	0
1429813407	773403	1404	996	1504	1512	0	0	0	0	0
1429813407	873416	1404	992	1508	1508	0	0	0	0	0
1429813407	973430	1404	996	1508	1508	0	0	0	0	0
1429813408	73432	1404	996	1504	1512	0	0	0	0	0
1429813408	173398	1404	996	1508	1508	0	0	0	0	0
1429813408	273388	1404	996	1504	1512	0	0	0	0	0
1429813408	373355	1404	992	1508	1508	0	0	0	0	0
1429813408	473539	1404	996	1504	1512	0	0	0	0	0
1429813408	573513	1404	996	1504	1512	0	0	0	0	0
1429813408	673371	1404	992	1504	1512	0	0	0	0	0
1429813408	773374	1400	996	1504	1512	0	0	0	0	0
1429813408	873368	1404	996	1504	1508	0	0	0	0	0
1429813408	973384	1400	1000	1504	1512	0	0	0	0	0
1429813409	73371	1404	996	1504	1508	0	0	0	0	0
1429813409	173373	1404	996	1504	1512	0	0	0	0	0
1429813409	273374	1404	992	1508	1508	0	0	0	0	0
1429813409	373379	1420	976	1508	1508	0	0	0	0	0
1429813409	473379	1404	996	1504	1508	0	0	0	0	0
1429813409	573359	1404	1000	1504	1508	0	0	0	0	0
1429813409	673373	1400	996	1508	1508	0	0	0	0	0
1429813409	773370	1404	996	1504	1504	0	0	0	0	0
1429813409	873369	1404	996	1508	1508	0	0	0	0	0
1429813409	973375	1400	1000	1504	1512	0	0	0	0	0
1429813410	73367	1400	1000	1504	1512	0	0	0	0	0
1429813410	173375	1404	996	1504	1512	0	0	0	0	0
1429813410	273362	1404	996	1508	1508	0	0	0	0	0
1429813410	373362	1400	1000	1504	1508	0	0	0	0	0
1429813410	473383	1404	996	1504	1512	0	0	0	0	0
1429813410	573371	1404	996	1508	1508	0	0	0	0	0
1429813410	673371	1404	996	1508	1512	0	0	0	0	0
1429813410	773375	1404	1000	1504	1508	0	0	0	0	0
1429813410	873355	1400	1000	1504	1520	0	0	0	0	0
1429813410	973378	1400	1000	1504	1512	0	0	0	0	0
1429813411	73365	1404	1000	1504	1508	0	0	0	0	0
1429813411	173367	1404	996	1508	1508	0	0	0	0	0
1429813411	273375	1404	996	1508	1508	0	0	0	0	0
1429813411	373373	1404	1000	1504	1508	0	0	0	0	0
1429813411	473386	1404	996	1504	1508	0	0	0	0	0
1429813411	573408	1404	996	1504	1512	0	0	0	0	0
1429813411	673379	1404	992	1508	1508	0	0	0	0	0
1429813411	773373	1404	996	1504	1508	0	0	0	0	0
1429813411	873373	1400	996	1504	1512	0	0	0	0	0
1429813411	973377	1400	996	1504	1512	0	0	0	0	0
1429813412	73389	1400	996	1504	1508	0	0	0	0	0
1429813412	173402	1404	996	1504	1512	0	0	0	0	0
1429813412	273423	1404	996	1508	1508	0	0	0	0	0
1429813412	373446	1404	992	1508	1508	0	0	0	0	0
1429813412	473427	1404	992	1504	1508	0	0	0	0	0
1429813412	573403	1400	996	1504	1512	0	0	0	0	0
1429813412	673414	1404	996	1504	1508	0	0	0	0	0
1429813412	773438	1404	992	1508	1508	0	0	0	0	0
1429813412	873429	1404	992	1508	1508	0	0	0	0	0
1429813412	973453	1404	996	1504	1508	0	0	0	0	0
1429813413	73429	1404	992	1508	1508	0	0	0	0	0
1429813413	173429	1404	996	1504	1512	0	0	0	0	0
1429813413	273441	1404	996	1504	1508	0	0	0	0	0
1429813413	373361	1404	992	1504	1512	0	0	0	0	0
1429813413	473508	1404	992	1508	1508	0	0	0	0	0
1429813413	573505	1404	992	1508	1508	0	0	0	0	0
1429813413	673379	1404	992	1508	1508	0	0	0	0	0
1429813413	773383	1404	992	1508	1508	0	0	0	0	0
1429813413	873381	1400	996	1504	1508	0	0	0	0	0
1429813413	973446	1400	996	1504	1508	0	0	0	0	0
1429813414	73358	1404	992	1508	1508	0	0	0	0	0
1429813414	173370	1404	992	1508	1508	0	0	0	0	0
1429813414	273382	1400	996	1504	1512	0	0	0	0	0
1429813414	373380	1404	992	1508	1508	0	0	0	0	0
1429813414	473385	1404	992	1508	1508	0	0	0	0	0
1429813414	573360	1404	992	1508	1508	0	0	0	0	0
1429813414	673369	1404	992	1504	1512	0	0	0	0	0
1429813414	773374	1404	996	1504	1512	0	0	0	0	0
1429813414	873369	1400	996	1504	1508	0	0	0	0	0
1429813414	973372	1404	992	1508	1508	0	0	0	0	0
1429813415	93397	1404	996	1504	1508	0	0	0	0	0
1429813415	193376	1404	992	1504	1512	0	0	0	0	0
1429813415	293374	1404	992	1508	1508	0	0	0	0	0
1429813415	393369	1404	992	1504	1512	0	0	0	0	0
1429813415	493374	1400	996	1504	1508	0	0	0	0	0
1429813415	593372	1404	992	1508	1508	0	0	0	0	0
1429813415	693371	1404	992	1508	1508	0	0	0	0	0
1429813415	793388	1404	992	1508	1508	0	0	0	0	0
1429813415	893393	1400	996	1504	1512	0	0	0	0	0
1429813415	993375	1404	992	1508	1508	0	0	0	0	0
1429813416	93373	1404	996	1504	1508	0	0	0	0	0
1429813416	193376	1400	996	1504	1512	0	0	0	0	0
1429813416	293367	1404	996	1504	1508	0	0	0	0	0
1429813416	393371	1404	992	1508	1508	0	0	0	0	0
1429813416	493360	1404	996	1504	1512	0	0	0	0	0
1429813416	593368	1404	992	1508	1508	0	0	0	0	0
1429813416	693368	1404	996	1508	1508	0	0	0	0	0
1429813416	793376	1404	996	1508	1508	0	0	0	0	0
1429813416	893386	1404	992	1508	1508	0	0	0	0	0
1429813416	993376	1400	1000	1504	1512	0	0	0	0	0
1429813417	93398	1404	996	1504	1512	0	0	0	0	0
1429813417	193411	1400	992	1508	1508	0	0	0	0	0
1429813417	293422	1404	992	1508	1508	0	0	0	0	0
1429813417	393404	1400	996	1504	1512	0	0	0	0	0
1429813417	493433	1400	996	1504	1512	0	0	0	0	0
1429813417	593419	1404	992	1508	1508	0	0	0	0	0
1429813417	693419	1404	992	1508	1508	0	0	0	0	0
1429813417	793424	1404	992	1508	1508	0	0	0	0	0
1429813417	893460	1400	1012	1508	1508	0	0	0	0	0
1429813417	993450	1404	992	1508	1508	0	0	0	0	0
1429813418	93431	1404	996	1504	1512	0	0	0	0	0
1429813418	193429	1404	992	1508	1508	0	0	0	0	0
1429813418	293453	1404	996	1504	1512	0	0	0	0	0
