UniLog;Empfänger
Zeit [Sek];SpannungRx [V];Spannung [V];Strom [A];Ladung [mAh];Leistung [W];Energie [Wh];Spannung/Zelle [V];Drehzahl [1/min];Wirkungsgrad [%];Höhe [m];Steigrate [m/sec];Temperatur 1 [°C];ServoImpuls [µs];InternTemperatur [°C]
  2012-10-23 17:14:51.576; 5.030;11.950;1.170;0.000;13.981;0.000;2.987;261.000;0.000;0.000;0.000;-100.000;1337.000;18.900
  2012-10-23 17:14:51.638; 5.030;11.950;1.170;0.000;13.981;0.000;2.987;261.000;0.000;-0.700;0.000;-100.000;1337.000;18.900
  2012-10-23 17:14:51.701; 5.030;11.950;1.210;0.000;14.459;0.000;2.987;266.000;0.000;-0.700;0.000;-100.000;1343.000;18.900
  2012-10-23 17:14:51.763; 5.030;11.950;1.250;0.000;14.937;0.000;2.987;271.000;0.000;-0.600;0.000;-100.000;1346.000;18.900
  2012-10-23 17:14:51.826; 5.030;11.950;1.310;0.000;15.654;0.001;2.987;277.000;0.000;-0.600;0.000;-100.000;1360.000;18.900
  2012-10-23 17:14:51.888; 5.030;11.950;1.350;0.000;16.132;0.001;2.987;281.000;0.000;0.200;0.000;-100.000;1362.000;18.900
  2012-10-23 17:14:51.951; 5.030;11.950;1.370;0.000;16.371;0.001;2.987;287.000;0.000;0.900;0.000;-100.000;1365.000;18.900
  2012-10-23 17:14:52.013; 5.030;11.940;1.430;0.000;17.074;0.001;2.985;291.000;0.000;0.900;0.000;-100.000;1369.000;18.900
  2012-10-23 17:14:52.076; 5.030;11.940;1.440;0.000;17.193;0.002;2.985;295.000;0.000;0.900;0.000;-100.000;1373.000;18.900
  2012-10-23 17:14:52.138; 5.030;11.940;1.450;0.000;17.313;0.002;2.985;298.000;0.000;0.900;0.000;-100.000;1380.000;18.900
  2012-10-23 17:14:52.201; 5.030;11.940;1.510;0.000;18.029;0.002;2.985;301.000;0.000;0.900;0.000;-100.000;1383.000;18.900
  2012-10-23 17:14:52.263; 5.030;11.940;1.510;0.000;18.029;0.003;2.985;304.000;0.000;0.900;0.000;-100.000;1394.000;18.900
  2012-10-23 17:14:52.326; 5.030;11.940;1.590;0.000;18.984;0.003;2.985;307.000;0.000;0.900;0.000;-100.000;1401.000;18.900
  2012-10-23 17:14:52.388; 5.030;11.940;1.690;0.000;20.178;0.003;2.985;311.000;0.000;1.000;0.000;-100.000;1404.000;18.900
  2012-10-23 17:14:52.451; 5.030;11.930;1.720;0.000;20.519;0.004;2.982;316.000;0.000;1.000;0.000;-100.000;1404.000;18.900
  2012-10-23 17:14:52.513; 5.030;11.930;1.760;0.000;20.996;0.004;2.982;320.000;0.000;0.900;0.000;-100.000;1409.000;18.900
  2012-10-23 17:14:52.576; 5.030;11.930;1.730;0.000;20.638;0.004;2.982;322.000;0.000;0.900;0.000;-100.000;1413.000;18.900
  2012-10-23 17:14:52.638; 5.030;11.930;1.780;0.000;21.235;0.005;2.982;325.000;0.000;0.800;0.000;-100.000;1425.000;18.900
  2012-10-23 17:14:52.701; 5.040;11.930;1.840;0.000;21.951;0.005;2.982;327.000;0.000;0.900;0.000;-100.000;1428.000;18.900
  2012-10-23 17:14:52.763; 5.040;11.920;1.930;0.000;23.005;0.006;2.980;331.000;0.000;0.800;0.000;-100.000;1432.000;18.900
  2012-10-23 17:14:52.826; 5.030;11.920;1.910;0.000;22.767;0.006;2.980;334.000;0.000;0.900;0.000;-100.000;1435.000;18.900
  2012-10-23 17:14:52.888; 5.040;11.920;1.950;0.000;23.244;0.006;2.980;338.000;0.000;1.000;0.000;-100.000;1435.000;18.900
  2012-10-23 17:14:52.951; 5.040;11.920;2.010;0.000;23.959;0.007;2.980;341.000;0.000;1.000;0.000;-100.000;1446.000;18.900
  2012-10-23 17:14:53.013; 5.040;11.920;2.090;0.000;24.912;0.007;2.980;344.000;0.000;1.000;0.000;-100.000;1448.000;18.900
  2012-10-23 17:14:53.076; 5.040;11.920;2.120;0.000;25.270;0.008;2.980;347.000;0.000;1.100;0.000;-100.000;1461.000;18.900
  2012-10-23 17:14:53.138; 5.040;11.920;2.190;0.000;26.104;0.008;2.980;352.000;0.000;1.100;0.000;-100.000;1471.000;18.900
  2012-10-23 17:14:53.201; 5.040;11.910;2.230;0.000;26.559;0.009;2.977;356.000;0.000;1.200;0.000;-100.000;1476.000;18.900
  2012-10-23 17:14:53.263; 5.040;11.910;2.320;0.000;27.631;0.009;2.977;360.000;0.000;1.200;0.000;-100.000;1476.000;18.900
  2012-10-23 17:14:53.326; 5.040;11.910;2.350;0.000;27.988;0.009;2.977;364.000;0.000;1.200;0.000;-100.000;1477.000;19.000
  2012-10-23 17:14:53.388; 5.040;11.910;2.370;0.000;28.226;0.010;2.977;366.000;0.000;1.300;0.000;-100.000;1494.000;18.900
  2012-10-23 17:14:53.451; 5.040;11.900;2.490;0.000;29.631;0.010;2.975;370.000;0.000;1.200;0.000;-100.000;1496.000;18.900
  2012-10-23 17:14:53.513; 5.040;11.900;2.570;0.000;30.583;0.011;2.975;374.000;0.000;1.300;0.000;-100.000;1505.000;19.000
  2012-10-23 17:14:53.576; 5.040;11.900;2.620;0.000;31.178;0.012;2.975;379.000;0.000;1.400;0.000;-100.000;1511.000;19.000
  2012-10-23 17:14:53.638; 5.040;11.900;2.620;0.000;31.178;0.012;2.975;383.000;0.000;1.500;0.000;-100.000;1517.000;18.900
  2012-10-23 17:14:53.701; 5.040;11.890;2.770;0.000;32.935;0.013;2.972;386.000;0.000;1.500;0.000;-100.000;1517.000;19.000
  2012-10-23 17:14:53.763; 5.040;11.890;2.900;0.000;34.481;0.013;2.972;392.000;0.000;1.500;0.000;-100.000;1527.000;19.000
  2012-10-23 17:14:53.826; 5.040;11.890;2.850;0.000;33.886;0.014;2.972;395.000;0.000;1.500;0.000;-100.000;1530.000;19.000
  2012-10-23 17:14:53.888; 5.040;11.890;3.030;0.000;36.026;0.014;2.972;399.000;0.448;1.500;0.000;-100.000;1539.000;18.900
  2012-10-23 17:14:53.951; 5.040;11.880;3.080;0.000;36.590;0.015;2.970;404.000;0.458;1.400;0.000;-100.000;1550.000;18.900
  2012-10-23 17:14:54.013; 5.040;11.880;3.170;0.000;37.659;0.016;2.970;408.000;0.458;1.400;0.000;-100.000;1550.000;19.000
  2012-10-23 17:14:54.076; 5.040;11.870;3.310;0.000;39.289;0.016;2.967;415.000;0.462;1.300;0.000;-100.000;1566.000;19.000
  2012-10-23 17:14:54.138; 5.040;11.870;3.520;0.000;41.782;0.017;2.967;421.000;0.453;1.300;0.000;-100.000;1570.000;19.000
  2012-10-23 17:14:54.201; 5.040;11.860;3.580;0.000;42.458;0.018;2.965;426.000;0.462;1.300;0.000;-100.000;1572.000;19.000
  2012-10-23 17:14:54.263; 5.040;11.860;3.600;0.000;42.696;0.019;2.965;430.000;0.473;1.300;0.000;-100.000;1579.000;19.000
  2012-10-23 17:14:54.326; 5.040;11.860;3.680;0.000;43.644;0.019;2.965;434.000;0.476;1.200;0.000;-100.000;1586.000;19.000
  2012-10-23 17:14:54.388; 5.040;11.860;3.930;0.000;46.609;0.020;2.965;439.000;0.461;1.100;0.000;-100.000;1591.000;19.000
  2012-10-23 17:14:54.451; 5.040;11.850;3.860;0.000;45.741;0.021;2.962;444.000;0.486;1.200;0.000;-100.000;1594.000;19.000
  2012-10-23 17:14:54.513; 5.040;11.850;4.030;0.000;47.755;0.022;2.962;448.000;0.478;1.200;0.000;-100.000;1602.000;19.000
  2012-10-23 17:14:54.576; 5.040;11.850;4.110;0.000;48.703;0.023;2.962;452.000;0.481;1.300;0.000;-100.000;1611.000;19.000
  2012-10-23 17:14:54.638; 5.040;11.840;4.250;0.000;50.320;0.024;2.960;457.000;0.482;1.300;0.000;-100.000;1613.000;19.000
  2012-10-23 17:14:54.701; 5.040;11.840;4.300;0.000;50.912;0.024;2.960;460.000;0.485;1.400;0.000;-100.000;1613.000;19.000
  2012-10-23 17:14:54.763; 5.040;11.840;4.380;0.000;51.859;0.025;2.960;462.000;0.483;1.400;0.000;-100.000;1621.000;19.000
  2012-10-23 17:14:54.826; 5.040;11.830;4.590;0.000;54.299;0.026;2.957;465.000;0.470;1.300;0.000;-100.000;1631.000;19.000
  2012-10-23 17:14:54.888; 5.040;11.830;4.590;0.000;54.299;0.027;2.957;471.000;0.489;1.300;0.000;-100.000;1635.000;19.000
  2012-10-23 17:14:54.951; 5.040;11.820;4.750;0.000;56.145;0.028;2.955;476.000;0.488;1.400;0.000;-100.000;1635.000;19.000
  2012-10-23 17:14:55.013; 5.040;11.820;4.680;0.000;55.317;0.029;2.955;479.000;0.504;1.300;0.000;-100.000;1637.000;19.000
  2012-10-23 17:14:55.076; 5.040;11.820;4.760;0.000;56.263;0.030;2.955;480.000;0.499;1.500;0.000;-100.000;1642.000;19.000
  2012-10-23 17:14:55.138; 5.040;11.820;4.870;0.000;57.563;0.031;2.955;483.000;0.497;1.500;0.000;-100.000;1648.000;19.000
