UniLog;Empfänger
Zeit [Sek];SpannungRx [V];Spannung [V];Strom [A];Ladung [mAh];Leistung [W];Energie [Wh];Spannung/Zelle [V];Drehzahl [1/min];Wirkungsgrad [%];Höhe [m];Steigrate [m/sec];Temperatur 1 [°C];ServoImpuls [µs];InternTemperatur [°C]
  2012-10-23 16:55:07.537; 5.020;12.32;0.7;0.000;9;0.00;3.080;99;0.000;0.000;0.000;-100.000;1286;20.500
  2012-10-23 16:55:07.599; 5.020;12.32;0.7;0.000;9;0.00;3.080;120;0.000;0.200;0.000;-100.000;1291;20.500
  2012-10-23 16:55:07.662; 5.020;12.32;1.0;0.000;12;0.00;3.080;136;0.000;0.300;0.000;-100.000;1292;20.500
  2012-10-23 16:55:07.724; 5.020;12.32;0.8;0.000;10;0.00;3.080;166;0.000;0.500;0.000;-100.000;1292;20.500
  2012-10-23 16:55:07.787; 5.020;12.33;0.6;0.000;7;0.00;3.082;173;0.000;0.600;0.000;-100.000;1297;20.500
  2012-10-23 16:55:07.849; 5.020;12.32;0.6;0.000;8;0.00;3.080;178;0.000;1.300;0.000;-100.000;1320;20.500
  2012-10-23 16:55:07.912; 5.020;12.32;0.9;0.000;11;0.00;3.080;190;0.000;1.300;0.000;-100.000;1327;20.500
  2012-10-23 16:55:07.974; 5.020;12.32;0.9;0.000;11;0.00;3.080;208;0.000;1.400;0.000;-100.000;1338;20.500
  2012-10-23 16:55:08.037; 5.020;12.31;1.1;0.000;13;0.00;3.077;224;0.000;1.400;0.000;-100.000;1344;20.500
  2012-10-23 16:55:08.099; 5.020;12.30;1.3;0.000;15;0.00;3.075;264;0.000;1.400;0.000;-100.000;1354;20.500
  2012-10-23 16:55:08.162; 5.020;12.30;1.4;0.000;17;0.00;3.075;264;0.000;1.500;0.000;-100.000;1355;20.500
  2012-10-23 16:55:08.224; 5.020;12.29;1.5;0.000;19;0.00;3.072;279;0.000;1.600;0.000;-100.000;1359;20.500
  2012-10-23 16:55:08.287; 5.020;12.30;1.5;0.000;19;0.00;3.075;293;0.000;1.600;0.000;-100.000;1362;20.500
  2012-10-23 16:55:08.349; 5.020;12.29;1.5;0.000;19;0.00;3.072;301;0.000;1.600;0.000;-100.000;1362;20.500
  2012-10-23 16:55:08.412; 5.020;12.29;1.6;0.000;19;0.00;3.072;308;0.000;1.800;0.000;-100.000;1373;20.500
  2012-10-23 16:55:08.474; 5.020;12.29;1.7;0.000;21;0.00;3.072;313;0.000;1.800;0.000;-100.000;1373;20.500
  2012-10-23 16:55:08.537; 5.020;12.29;1.9;0.000;24;0.00;3.072;321;0.000;1.700;0.000;-100.000;1390;20.500
  2012-10-23 16:55:08.599; 5.020;12.28;2.1;0.000;25;0.00;3.070;331;0.000;1.700;0.000;-100.000;1399;20.500
  2012-10-23 16:55:08.662; 5.020;12.27;2.4;0.000;30;0.00;3.067;342;0.000;1.700;0.000;-100.000;1405;20.500
